,n_rejected,workertimes,unp_rank,generations,param_norm,grad_norm,n_reused,walltimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
10,0,2.869234800338745,1,10,14.770626,5.5813103,0,42.41668653488159,-2.23864483833313,-2.2387282848358154,0.05,-5.9914646,0.05,-2.446949005126953,-2.0862059593200684,-2.238591432571411,0.005870021414011717,-223.85914611816406,-1.9479389,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
11,0,3.038935661315918,1,11,14.900515,5.5564423,0,46.04872512817383,-2.201723098754883,-2.2016286849975586,0.05,-5.9914646,0.05,-2.406050443649292,-1.9110609292984009,-2.2017011642456055,0.006174371112138033,-220.17010498046875,-1.8843628,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
12,0,3.2631490230560303,1,12,15.040832,5.6878104,0,49.91189098358154,-2.1455864906311035,-2.145538806915283,0.05,-5.9914646,0.05,-2.396596670150757,-1.9247264862060547,-2.1456949710845947,0.007477628067135811,-214.5695037841797,-1.8750926,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
13,0,3.0832595825195312,1,13,15.19227,5.675489,0,53.538294553756714,-2.113039016723633,-2.1131045818328857,0.05,-5.9914646,0.05,-2.3020918369293213,-1.931731104850769,-2.1129872798919678,0.005708752665668726,-211.29872131347656,-1.7979026,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
14,0,3.0573930740356445,1,14,15.352859,5.7183,0,57.19824004173279,-2.065192222595215,-2.0652124881744385,0.05,-5.9914646,0.05,-2.316481351852417,-1.8886624574661255,-2.0651090145111084,0.005894524976611137,-206.5109100341797,-1.8122215,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
15,0,3.0063881874084473,1,15,15.519372,5.7106233,0,60.80701947212219,-2.0142855644226074,-2.014373779296875,0.05,-5.9914646,0.05,-2.1695852279663086,-1.8786258697509766,-2.0143349170684814,0.004255643580108881,-201.43348693847656,-1.7644926,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
16,0,3.054107666015625,1,16,15.691772,5.727258,0,64.46526074409485,-1.980371356010437,-1.980498194694519,0.05,-5.9914646,0.05,-2.1888341903686523,-1.8076286315917969,-1.9802687168121338,0.0057080332189798355,-198.02687072753906,-1.730351,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
17,0,3.208193778991699,1,17,15.869419,5.6908693,0,68.27415037155151,-1.938572883605957,-1.9385573863983154,0.05,-5.9914646,0.05,-2.097872257232666,-1.8126074075698853,-1.9386025667190552,0.004126246087253094,-193.86026000976562,-1.6433665,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
18,0,3.0805294513702393,1,18,16.049143,5.7258677,0,71.90044593811035,-1.901429295539856,-1.9013124704360962,0.05,-5.9914646,0.05,-2.0819356441497803,-1.7445589303970337,-1.9014853239059448,0.005104877520352602,-190.14852905273438,-1.6584675,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
19,0,3.202984094619751,3,19,16.232365,5.666024,0,75.70547389984131,-1.8499778509140015,-1.8499590158462524,0.05,-5.9914646,0.05,-2.046454906463623,-1.6759592294692993,-1.8499724864959717,0.004846449475735426,-184.99725341796875,-1.6866069,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
