,unp_rank,n_rejected,grad_norm,workertimes,param_norm,n_reused,walltimes,generations,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
17,10,0,42.548874,29.81100106239319,64.19206,0,611.9273235797882,17,0.0,0.0,0.0500143,-5.9908928871154785,0.04989604,-5.995627403259277,0.0502284,-5.982349395751953,0.04999798,-5.9915452003479,2.5018973e-05,0.0010237866,0.05,0.05,0.0,200.0,150.0,1412.0,15000.0,160.0,,469,1000,969.19,4417.553899999999,96919,987,
18,6,0,42.52899,28.784167051315308,66.76081,0,647.6416692733765,18,0.0,0.0,0.05001411,-5.990900039672852,0.049893633,-5.995723724365234,0.0502336,-5.982142448425293,0.04999796,-5.991546154022217,2.5598154e-05,0.0010451227,0.05,0.05,40.0,200.0,152.8,644.16,15280.0,160.0,,654,1000,968.53,3606.9891000000002,96853,995,
19,9,0,42.546535,28.563904285430908,69.31262,0,682.5253796577454,19,0.0,0.0,0.05001395,-5.990906715393066,0.04989161,-5.995804786682129,0.050238267,-5.981956481933594,0.049997937,-5.991547107696533,2.6131676e-05,0.0010648223,0.05,0.05,80.0,200.0,151.4,530.04,15140.0,160.0,,766,1000,970.65,2325.5475,97065,982,
20,7,0,42.569096,29.154975175857544,71.83779,0,717.723649263382,20,0.0,0.0,0.0500138,-5.990912437438965,0.049889922,-5.995872497558594,0.050242532,-5.981786727905273,0.0499979,-5.991548538208008,2.6624271e-05,0.001083044,0.05,0.05,0.0,240.0,151.0,1307.0,15100.0,160.0,,734,1000,971.47,2743.3691000000003,97147,971,
21,11,0,42.575867,28.9905264377594,74.33398,0,752.860538482666,21,0.0,0.0,0.050013676,-5.990917682647705,0.04988821,-5.995941162109375,0.050246485,-5.981629371643066,0.049997877,-5.991549491882324,2.7079906e-05,0.0010999409,0.05,0.05,0.0,220.0,149.8,1043.96,14980.0,160.0,,738,1000,963.41,3096.0819,96341,993,
22,6,0,42.561184,29.543576955795288,76.80058,0,788.3486433029175,22,0.0,0.0,0.05001356,-5.990921974182129,0.04988676,-5.995999336242676,0.050249886,-5.981493949890137,0.049997866,-5.991549968719482,2.7502412e-05,0.0011156568,0.05,0.05,0.0,200.0,153.0,587.0,15300.0,160.0,,755,1000,974.92,1538.7135999999998,97492,993,
23,11,0,42.519833,29.17278742790222,79.23073,0,823.8231382369995,23,0.0,0.0,0.050013445,-5.990926742553711,0.049885664,-5.9960432052612305,0.050252955,-5.981371879577637,0.04999785,-5.991550445556641,2.7895387e-05,0.0011303005,0.05,0.05,0.0,220.0,153.0,939.0,15300.0,160.0,,772,1000,974.58,1432.6436,97458,981,
24,9,0,42.572834,28.69145441055298,81.626595,0,858.438413143158,24,0.0,0.0,0.050013345,-5.990930557250977,0.049885333,-5.99605655670166,0.050256178,-5.98124361038208,0.049997866,-5.991549968719482,2.8261542e-05,0.0011439747,0.05,0.05,0.0,220.0,150.2,835.96,15020.0,160.0,,739,1000,962.88,3376.3855999999996,96288,993,
25,84,0,42.559998,27.794058084487915,83.9869,0,892.2926645278931,25,0.0,0.0,0.050013248,-5.9909348487854,0.049884748,-5.996079921722412,0.05025887,-5.981136322021484,0.04999785,-5.991550445556641,2.8603461e-05,0.0011567804,0.05,0.05,0.0,220.0,153.2,1009.7600000000003,15320.0,140.0,,501,1000,963.99,5785.6899,96399,979,
26,79,0,42.545135,28.316020011901855,86.3119,0,926.6929938793182,26,0.0,0.0,0.050013162,-5.990938186645508,0.049884416,-5.996093273162842,0.05026121,-5.981043338775635,0.04999784,-5.991550922393799,2.8923656e-05,0.0011688068,0.05,0.05,0.0,220.0,146.6,1392.44,14660.0,120.0,,562,1000,954.95,6829.627499999998,95495,851,
27,9,0,42.545322,28.29368233680725,88.604324,0,960.7991914749146,27,0.0,0.0,0.050013077,-5.990941524505615,0.04988362,-5.996125221252441,0.05026334,-5.980958461761475,0.04999784,-5.991550922393799,2.9224362e-05,0.0011801305,0.05,0.05,0.0,220.0,148.2,1456.76,14820.0,160.0,,505,1000,960.35,8451.147500000003,96035,1000,
28,9,0,42.53388,28.193536043167114,90.86335,0,995.1391408443451,28,0.0,0.0,0.050012987,-5.990945339202881,0.049882464,-5.996171474456787,0.050265282,-5.980881214141846,0.04999784,-5.991550922393799,2.9507497e-05,0.0011908252,0.05,0.05,0.0,200.0,145.0,1307.0,14500.0,160.0,,379,1000,961.73,7863.0771,96173,1000,
29,12,0,42.553143,27.66979694366455,93.0866,0,1028.7974736690521,29,0.0,0.0,0.050012942,-5.9909467697143555,0.04988093,-5.996232986450195,0.050266843,-5.980819225311279,0.04999785,-5.991550445556641,2.9774901e-05,0.0012009566,0.05,0.05,0.0,240.0,142.6,1741.2400000000007,14260.0,160.0,,548,1000,949.81,7229.973900000001,94981,1000,
30,4,0,42.56008,28.182897329330444,95.275734,0,1062.937453508377,30,0.0,0.0,0.050012868,-5.990949630737305,0.04987915,-5.996304512023926,0.050268043,-5.980771541595459,0.049997866,-5.991549968719482,3.0028215e-05,0.0012105637,0.05,0.05,0.0,200.0,131.8,2920.7599999999993,13180.0,180.0,,455,1000,943.47,9865.8491,94347,1000,
31,10,0,42.538734,27.421671867370605,97.43005,0,1096.2631433010101,31,0.0,0.0,0.050012812,-5.990952014923096,0.049877603,-5.996366500854492,0.050269097,-5.980729579925537,0.04999785,-5.991550445556641,3.0268418e-05,0.0012197131,0.05,0.05,0.0,220.0,134.0,2316.0,13400.0,160.0,,497,1000,943.62,10987.295599999998,94362,1000,
32,11,0,42.545174,27.113917589187622,99.54871,0,1129.3662037849426,32,0.0,0.0,0.050012756,-5.990954399108887,0.04987627,-5.996419906616211,0.050269935,-5.980696201324463,0.04999785,-5.991550445556641,3.0497175e-05,0.0012284428,0.05,0.05,0.0,240.0,133.6,2575.04,13360.0,160.0,,551,1000,948.59,8187.541899999999,94859,1000,
33,19,0,42.574303,27.64533305168152,101.63575,0,1162.9336915016174,33,0.0,0.0,0.050012693,-5.990956783294678,0.049874842,-5.996477127075195,0.050270677,-5.980666637420654,0.049997866,-5.991549968719482,3.0715437e-05,0.00123679,0.05,0.05,0.0,220.0,141.4,1898.0399999999995,14140.0,160.0,,570,1000,942.73,10093.877100000002,94273,1000,
34,8,0,42.548397,29.052423238754272,103.68986,0,1197.9064013957977,34,0.0,0.0,0.05001265,-5.9909586906433105,0.049873203,-5.996542930603027,0.050270904,-5.980657577514648,0.049997866,-5.991549968719482,3.092413e-05,0.0012448021,0.05,0.05,0.0,220.0,139.4,1795.6399999999994,13940.0,160.0,,652,1000,954.23,7022.4971,95423,1000,
35,70,0,42.59897,28.551866054534912,105.71459,0,1232.398295879364,35,0.0,0.0,0.050012607,-5.990960121154785,0.049871836,-5.996597766876221,0.050271288,-5.980642318725586,0.049997877,-5.991549491882324,3.112445e-05,0.0012524968,0.05,0.05,0.0,240.0,140.0,2472.0,14000.0,140.0,,649,1000,962.5,5031.35,96250,853,
36,22,0,42.557228,26.55789017677307,107.71065,0,1265.3148424625397,36,0.0,0.0,0.05001256,-5.990962028503418,0.04987099,-5.996631622314453,0.050271194,-5.980646133422852,0.04999789,-5.991549015045166,3.1316828e-05,0.0012599165,0.05,0.05,0.0,220.0,139.0,2763.0,13900.0,160.0,,558,1000,948.28,9765.881599999999,94828,1000,
37,13,0,42.603947,27.315393686294556,109.67723,0,1298.5221991539001,37,0.0,0.0,0.050012514,-5.990963935852051,0.049870573,-5.99664831161499,0.050271254,-5.9806437492370605,0.04999789,-5.991549015045166,3.1502328e-05,0.0012670805,0.05,0.05,0.0,240.0,138.0,2348.0,13800.0,160.0,,521,1000,927.53,14438.1691,92753,1000,
38,13,0,42.56086,27.647757291793823,111.612236,0,1332.0965678691864,38,0.0,0.0,0.050012466,-5.990965843200684,0.049870383,-5.9966559410095215,0.05027105,-5.98065185546875,0.0499979,-5.991548538208008,3.1681437e-05,0.0012740245,0.05,0.05,0.0,220.0,138.8,1910.56,13880.0,160.0,,499,1000,936.47,12257.469099999997,93647,1000,
39,12,0,42.573963,27.838988542556763,113.517944,0,1365.7698044776917,39,0.0,0.0,0.050012425,-5.990967750549316,0.04987004,-5.996669769287109,0.050270952,-5.980655670166016,0.049997915,-5.99154806137085,3.185504e-05,0.0012807548,0.05,0.05,0.0,240.0,143.0,1899.0,14300.0,160.0,,506,1000,952.16,8390.4744,95216,1000,
40,12,0,42.545574,27.392045736312866,115.39535,0,1399.0637040138245,40,0.0,0.0,0.050012384,-5.990969181060791,0.049868956,-5.996713161468506,0.050270736,-5.980664253234863,0.049997915,-5.99154806137085,3.20233e-05,0.0012873119,0.05,0.05,0.0,240.0,134.4,2560.64,13440.0,160.0,,498,1000,947.26,10552.6924,94726,1000,
41,1,0,42.51528,27.3525607585907,117.24379,0,1432.3132927417755,41,0.0,0.0,0.050012343,-5.990971088409424,0.04986684,-5.996798038482666,0.05027046,-5.980675220489502,0.049997926,-5.991547584533691,3.2187232e-05,0.0012936979,0.05,0.05,0.0,220.0,143.8,2061.5600000000004,14380.0,260.0,,356,1000,960.87,7591.1131,96087,1000,
42,2,0,42.571655,26.765121698379517,119.06835,0,1464.9761271476746,42,0.0,0.0,0.050012305,-5.990972518920898,0.049864545,-5.996890068054199,0.050270017,-5.9806928634643555,0.049997926,-5.991547584533691,3.234688e-05,0.0012999469,0.05,0.05,0.0,240.0,130.2,2275.9600000000005,13020.0,200.0,,513,1000,924.11,13535.257899999999,92411,1000,
43,6,0,42.509872,28.47921657562256,120.86811,0,1499.2724902629852,43,0.0,0.0,0.050012264,-5.990973949432373,0.049862575,-5.996969223022461,0.050269686,-5.980706214904785,0.049997948,-5.991546630859375,3.2503107e-05,0.0013060598,0.05,0.05,0.0,280.0,146.8,2049.7599999999993,14680.0,180.0,,464,1000,959.21,8602.3859,95921,1000,
44,3,0,42.576557,27.97841501235962,122.64333,0,1533.143012046814,44,0.0,0.0,0.050012216,-5.990975856781006,0.049860932,-5.997035026550293,0.05026895,-5.9807353019714355,0.04999796,-5.991546154022217,3.2655924e-05,0.0013120559,0.05,0.05,0.0,240.0,144.0,1872.0,14400.0,200.0,,609,1000,954.84,8063.4144,95484,1000,
45,1,0,42.553936,26.6341495513916,124.39453,0,1565.6550242900848,45,0.0,0.0,0.050012186,-5.9909772872924805,0.049859613,-5.9970879554748535,0.05026851,-5.980752944946289,0.04999798,-5.9915452003479,3.280582e-05,0.001317932,0.05,0.05,0.0,220.0,131.2,2338.56,13120.0,240.0,,515,1000,939.85,9755.547499999999,93985,1000,
46,4,0,42.53292,28.00082278251648,126.1221,0,1599.4606597423553,46,0.0,0.0,0.050012138,-5.990979194641113,0.049858697,-5.997124671936035,0.050268173,-5.980766296386719,0.049997997,-5.991544723510742,3.295272e-05,0.0013237029,0.05,0.05,0.0,220.0,146.6,1824.44,14660.0,200.0,,511,1000,965.27,6613.4571,96527,1000,
47,2,0,42.561077,28.431923627853394,127.827034,0,1633.7720878124237,47,0.0,0.0,0.050012093,-5.990981101989746,0.04985777,-5.997161865234375,0.050267562,-5.980790615081787,0.049998008,-5.991544246673584,3.309699e-05,0.0013293857,0.05,0.05,0.0,240.0,144.6,2158.84,14460.0,220.0,,495,1000,966.88,6617.605600000001,96688,1000,
48,73,0,42.575855,27.672333240509033,129.50778,0,1667.3202955722809,48,0.0,0.0,0.05001206,-5.9909820556640625,0.04985732,-5.997179985046387,0.05026707,-5.980810165405273,0.04999802,-5.991543769836426,3.3239052e-05,0.0013349683,0.05,0.05,0.0,260.0,148.8,2210.5600000000004,14880.0,120.0,,651,1000,962.99,6262.0899,96299,821,
49,8,0,42.570877,28.026621103286743,131.16815,0,1700.8233196735382,49,0.0,0.0,0.050012015,-5.990983963012695,0.04985703,-5.997191429138184,0.050266147,-5.980846881866455,0.049998034,-5.991543292999268,3.337861e-05,0.0013404804,0.05,0.05,0.0,240.0,140.6,2035.6399999999994,14060.0,180.0,,473,1000,945.75,13261.0075,94575,1000,
50,15,0,42.526966,28.114819526672363,132.81169,0,1734.921127319336,50,0.0,0.0,0.05001198,-5.99098539352417,0.04985702,-5.997191905975342,0.050265167,-5.980885982513428,0.049998056,-5.991542339324951,3.3516408e-05,0.0013459241,0.05,0.05,0.0,220.0,141.8,1456.7599999999998,14180.0,160.0,,640,1000,967.16,5790.5743999999995,96716,1000,
51,19,0,42.60098,28.81120228767395,134.43494,0,1769.7301523685455,51,0.0,0.0,0.050011944,-5.9909868240356445,0.049857095,-5.997189044952393,0.05026429,-5.980920791625977,0.049998056,-5.991542339324951,3.3652494e-05,0.0013513012,0.05,0.05,0.0,260.0,149.0,1899.0,14900.0,160.0,,722,1000,970.05,4165.5275,97005,1000,
52,21,0,42.53988,29.286616802215576,136.0375,0,1804.9284889698029,52,0.0,0.0,0.050011907,-5.990988254547119,0.04985701,-5.9971923828125,0.050263833,-5.980938911437988,0.049998067,-5.991541862487793,3.3786917e-05,0.0013565939,0.05,0.05,0.0,240.0,148.4,1889.44,14840.0,160.0,,745,1000,975.84,2769.2143999999994,97584,1000,
53,8,0,42.53184,28.804460287094116,137.62042,0,1839.6383175849915,53,0.0,0.0,0.050011877,-5.990989685058594,0.049856924,-5.997195720672607,0.050262854,-5.980978012084961,0.049998067,-5.991541862487793,3.3919223e-05,0.0013618286,0.05,0.05,0.0,240.0,148.8,1658.56,14880.0,180.0,,722,1000,974.61,3153.6779000000006,97461,867,
54,25,0,42.552433,28.956405639648438,139.18347,0,1874.8839004039764,54,0.0,0.0,0.050011843,-5.99099063873291,0.04985593,-5.9972357749938965,0.05026186,-5.981017589569092,0.04999808,-5.991541385650635,3.4050085e-05,0.0013669954,0.05,0.05,80.0,260.0,155.4,1350.84,15540.0,160.0,,746,1000,978.1,2703.49,97810,922,
55,26,0,42.53239,28.941262245178223,140.72578,0,1909.5751934051514,55,0.0,0.0,0.05001181,-5.990992069244385,0.049854252,-5.997303009033203,0.05026121,-5.981043338775635,0.04999808,-5.991541385650635,3.4179247e-05,0.0013721187,0.05,0.05,40.0,240.0,158.2,1240.7600000000002,15820.0,160.0,,616,1000,980.05,3585.9275,98005,1000,
56,65,0,42.58099,29.050414323806763,142.25455,0,1944.5512080192566,56,0.0,0.0,0.05001178,-5.990993499755859,0.0498526,-5.997369289398193,0.050260454,-5.981073379516602,0.0499981,-5.991540431976318,3.4307322e-05,0.0013772033,0.05,0.05,0.0,240.0,152.2,2055.16,15220.0,140.0,,414,1000,976.07,5854.985100000002,97607,1000,
57,85,0,42.58282,29.211184978485107,143.7642,0,1979.7017827033997,57,0.0,0.0,0.050011758,-5.990994453430176,0.04985153,-5.997412204742432,0.05025964,-5.981105804443359,0.049998116,-5.99153995513916,3.4434426e-05,0.0013822538,0.05,0.05,0.0,240.0,154.8,1572.9600000000003,15480.0,100.0,,821,1000,980.39,2241.9779,98039,1000,
58,84,0,42.56504,28.269073963165283,145.26,0,2013.8611733913422,58,0.0,0.0,0.050011728,-5.990995407104492,0.049850103,-5.997469425201416,0.050259005,-5.981131076812744,0.049998127,-5.991539478302002,3.456068e-05,0.0013872572,0.05,0.05,0.0,240.0,152.2,2159.16,15220.0,100.0,,436,1000,974.12,6018.345599999998,97412,1000,
59,77,0,42.55143,28.26537036895752,146.74069,0,2048.0207006931305,59,0.0,0.0,0.0500117,-5.990996837615967,0.049849033,-5.997512340545654,0.050258454,-5.9811530113220215,0.049998138,-5.991539001464844,3.4685752e-05,0.0013922303,0.05,0.05,0.0,280.0,149.6,2851.839999999999,14960.0,100.0,,473,1000,968.9,8893.729999999998,96890,1000,
60,75,0,42.50117,29.10480284690857,148.20393,0,2083.174594640732,60,0.0,0.0,0.050011665,-5.990997791290283,0.04984838,-5.9975385665893555,0.05025812,-5.981166362762451,0.049998138,-5.991539001464844,3.4810073e-05,0.001397172,0.05,0.05,0.0,240.0,147.0,1883.0,14700.0,100.0,,727,1000,979.92,2757.5735999999997,97992,999,
61,69,0,42.580513,29.67249608039856,149.65186,0,2118.9265961647034,61,0.0,0.0,0.05001163,-5.990999221801758,0.049848177,-5.997546672821045,0.05025754,-5.981189250946045,0.049998138,-5.991539001464844,3.4933604e-05,0.0014020824,0.05,0.05,20.0,260.0,148.4,1929.44,14840.0,100.0,,777,1000,988.86,1541.3804,98886,1000,
62,79,0,42.52903,29.65929341316223,151.08368,0,2154.5103647708893,62,0.0,0.0,0.050011605,-5.991000175476074,0.049847655,-5.997567653656006,0.050256968,-5.981212139129639,0.049998164,-5.991538047790527,3.505635e-05,0.0014069609,0.05,0.05,0.0,260.0,154.0,2132.0,15400.0,100.0,,632,1000,987.49,2337.7699000000007,98749,986,
63,84,0,42.52988,29.26951813697815,152.50104,0,2189.6517062187195,63,0.0,0.0,0.050011575,-5.991001605987549,0.04984782,-5.997560977935791,0.05025661,-5.981226444244385,0.049998175,-5.991537570953369,3.5178306e-05,0.0014118177,0.05,0.05,0.0,240.0,158.4,1581.44,15840.0,100.0,,759,1000,987.27,1360.2771000000002,98727,1000,
64,81,0,42.56592,28.88143539428711,153.9032,0,2224.4409148693085,64,0.0,0.0,0.050011545,-5.991002559661865,0.049848057,-5.997551441192627,0.05025674,-5.9812211990356445,0.049998187,-5.991537094116211,3.5299716e-05,0.0014166434,0.05,0.05,0.0,280.0,152.4,2006.24,15240.0,100.0,,664,1000,977.69,3586.2938999999988,97769,1000,
65,84,0,42.5917,28.716450452804565,155.29193,0,2259.0394208431244,65,0.0,0.0,0.05001151,-5.99100399017334,0.049847916,-5.997557163238525,0.05025674,-5.9812211990356445,0.049998187,-5.991537094116211,3.5420348e-05,0.0014214625,0.05,0.05,20.0,260.0,158.2,1840.7599999999993,15820.0,100.0,,574,1000,969.95,7666.187499999997,96995,990,
66,78,0,42.582253,29.025981187820435,156.66524,0,2294.00652217865,66,0.0,0.0,0.050011475,-5.9910054206848145,0.04984769,-5.997566223144531,0.05025655,-5.981228828430176,0.049998198,-5.991536617279053,3.5540812e-05,0.0014262578,0.05,0.05,0.0,260.0,158.8,1822.56,15880.0,120.0,,632,1000,981.41,3818.1619,98141,1000,
67,86,0,42.53653,28.862207889556885,158.02467,0,2328.749773979187,67,0.0,0.0,0.05001146,-5.991006374359131,0.049847487,-5.997574329376221,0.050256908,-5.98121452331543,0.049998224,-5.991535663604736,3.5660687e-05,0.001431026,0.05,0.05,0.0,260.0,158.8,1886.56,15880.0,100.0,,693,1000,986.89,2218.9979,98689,994,
68,71,0,42.57015,29.847820520401,159.37015,0,2364.4765360355377,68,0.0,0.0,0.050011422,-5.9910078048706055,0.049847405,-5.997577667236328,0.05025728,-5.981199741363525,0.049998224,-5.991535663604736,3.5779885e-05,0.0014357672,0.05,0.05,0.0,240.0,150.8,1683.3600000000004,15080.0,120.0,,703,1000,986.68,1999.2576,98668,1000,
69,78,0,42.57858,29.075965881347656,160.70276,0,2399.4398200511932,69,0.0,0.0,0.050011393,-5.991008758544922,0.049847312,-5.997581481933594,0.050257795,-5.981179237365723,0.049998235,-5.991535186767578,3.58984e-05,0.0014404935,0.05,0.05,80.0,240.0,155.4,1214.84,15540.0,120.0,,691,1000,977.67,3740.6011,97767,1000,
70,14,0,42.56989,29.245902061462402,162.0221,0,2434.5614290237427,70,0.0,0.0,0.05001137,-5.991009712219238,0.049847156,-5.99758768081665,0.050258406,-5.981154918670654,0.049998246,-5.99153470993042,3.6016554e-05,0.0014451955,0.05,0.05,0.0,260.0,158.2,2064.7599999999993,15820.0,200.0,,642,1000,991.22,1558.8515999999995,99122,1000,
71,93,0,42.528885,29.168294191360474,163.32968,0,2469.5673611164093,71,0.0,0.0,0.050011337,-5.991011142730713,0.049846955,-5.99759578704834,0.050259307,-5.981119155883789,0.049998257,-5.991534233093262,3.6134094e-05,0.0014498635,0.05,0.05,100.0,260.0,168.4,985.4399999999998,16840.0,100.0,,820,1000,988.15,1369.0275,98815,747,
72,27,0,42.558315,29.869118213653564,164.62515,0,2505.479009628296,72,0.0,0.0,0.050011296,-5.9910125732421875,0.049846813,-5.997601509094238,0.050260156,-5.981085300445557,0.04999827,-5.9915337562561035,3.625078e-05,0.0014545217,0.05,0.05,0.0,260.0,168.6,1418.0399999999997,16860.0,180.0,,671,1000,983.62,2467.1555999999996,98362,1000,
73,11,0,42.56134,29.127367973327637,165.90854,0,2540.4731826782227,73,0.0,0.0,0.05001126,-5.99101448059082,0.0498463,-5.997622013092041,0.050260767,-5.981060981750488,0.04999828,-5.991533279418945,3.636723e-05,0.0014591546,0.05,0.05,60.0,260.0,163.8,1421.5600000000006,16380.0,200.0,,717,1000,983.09,2886.6618999999982,98309,1000,
74,7,0,42.55509,29.456302165985107,167.18034,0,2575.8772263526917,74,0.0,0.0,0.050011225,-5.991015434265137,0.04984574,-5.997644424438477,0.05026122,-5.981042861938477,0.04999828,-5.991533279418945,3.648304e-05,0.0014637794,0.05,0.05,80.0,240.0,164.6,1302.84,16460.0,220.0,,759,1000,991.11,1147.2578999999998,99111,1000,
