,grad_norm,generations,workertimes,walltimes,n_rejected,unp_rank,n_reused,param_norm,baseline_mu,baseline_sigma,sigma,beta,estim_mu_var,var_mu_change,estim_sigma_var,var_sigma_change,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
13,2.6331549,13,32.170371294021606,1313.290293931961,0,1,0,74.52086,7.979647159576416,7.979336738586426,0.051426444,-5.9347196,170342.25260572837,0.021234256137513167,98593566546361.77,31915116.69796552,1.0,1.0,0.0,9.0,7.98,7.5996000000000015,798.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
14,2.6372867,14,31.114203214645386,1404.9574296474457,0,1,0,77.96795,8.380386352539062,8.380796432495117,0.051438943,-5.9298177,168324.56427990453,0.0001636590248170255,98552469375559.97,204434.56098442303,1.0,1.0,0.0,9.0,8.38,5.1156,838.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
15,2.637797,15,31.361445426940918,1496.8903617858887,0,1,0,81.28485,8.699758529663086,8.699626922607422,0.05145426,-5.9298177,170210.68429748755,0.0012225563175116997,98460323252483.17,2665456.780568737,1.0,1.0,0.0,9.0,8.7,2.4300000000000006,870.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
16,2.6400585,16,31.43283724784851,1589.9806244373322,0,1,0,84.478516,8.999996185302734,9.000005722045898,0.051477954,-5.9298177,166041.1791112494,0.0005750211030850595,98231048046399.89,1272082.9193932398,1.0,1.0,9.0,9.0,9.0,0.0,900.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
17,2.641381,17,31.4175124168396,1682.5687322616577,0,1,0,87.54872,8.819915771484375,8.819806098937988,0.051494356,-5.9298177,168073.88512809164,0.0024308993373962384,98060465548416.55,15178759.666880727,1.0,1.0,0.0,9.0,8.82,1.5875999999999992,882.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
18,2.6374357,18,31.902308702468872,1776.5617730617523,0,1,0,90.500534,8.890137672424316,8.890283584594727,0.051505566,-5.9298177,168325.0402096709,0.01042811438522948,98100008115769.53,23095230.940882128,1.0,1.0,0.0,9.0,8.89,0.8379000000000005,889.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
19,2.6427906,19,31.25788378715515,1869.1793911457062,0,1,0,93.34179,8.910045623779297,8.910197257995605,0.051531605,-5.9298177,167644.58849842488,0.000687979998285167,97853899158255.84,3273012.9189527687,1.0,1.0,0.0,9.0,8.91,0.8019000000000002,891.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
20,2.6483717,20,31.659279584884644,1962.4870896339417,0,1,0,96.0769,8.91020393371582,8.910482406616211,0.05155718,-5.9298177,168445.0885036025,0.006761181980580479,97570784327432.39,16828608.700688478,1.0,1.0,0.0,9.0,8.91,0.8019000000000002,891.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
21,8.230273,21,31.592445611953735,2054.6594846248627,0,1,0,99.01945,9.000004768371582,9.000008583068848,0.05156517,-5.927942,168642.19364659145,0.006394200961737827,97671213365832.7,22600286.91463052,1.0,1.0,9.0,9.0,9.0,0.0,900.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
22,2.645707,22,31.748929262161255,2147.5046730041504,0,1,0,102.32909,8.999991416931152,9.000003814697266,0.051542725,-5.927942,169531.968785544,6.75501145027402e-05,97748204803873.64,49636.81730686808,1.0,1.0,9.0,9.0,9.0,0.0,900.0,9.0,,1000,1000,1000.0,0.0,100000,1000,
