,workertimes,param_norm,walltimes,generations,n_reused,grad_norm,unp_rank,n_rejected,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
48,28.721659660339355,128.9083,1737.5245580673218,48,0,2.4991047,23,0,139.4027099609375,0.0,0.05,-5.9914646,1.0,0.0,280.0,139.4,2995.64,13940.0,160.0,,508,1000,959.46,8443.268399999999,95946,1000,
49,28.596834182739258,130.11263,1773.3510072231293,49,0,2.4961977,16,0,133.3990020751953,0.0,0.05,-5.9914646,1.0,0.0,220.0,133.4,3112.44,13340.0,160.0,,556,1000,963.98,6989.799599999999,96398,1000,
50,27.34896421432495,131.28638,1807.8284335136414,50,0,2.4963088,9,0,140.199462890625,0.0,0.05,-5.9914646,1.0,0.0,240.0,140.2,2875.9599999999987,14020.0,180.0,,382,1000,946.63,14523.2731,94663,1000,
51,27.76872730255127,132.42757,1842.7407133579254,51,0,2.4959528,15,0,133.2048797607422,0.0,0.05,-5.9914646,1.0,0.0,220.0,133.2,2665.76,13320.0,160.0,,539,1000,944.12,9640.045600000001,94412,1000,
52,28.4683940410614,133.5324,1878.712851524353,52,0,2.4977448,21,0,144.4044952392578,0.0,0.05,-5.9914646,1.0,0.0,240.0,144.4,2356.64,14440.0,160.0,,631,1000,963.88,6358.945599999999,96388,1000,
53,27.35728693008423,134.60458,1913.2127964496613,53,0,2.496668,8,0,134.19415283203125,0.0,0.05,-5.9914646,1.0,0.0,240.0,134.2,2426.359999999999,13420.0,180.0,,582,1000,946.12,8767.9056,94612,1000,
54,28.4736487865448,135.6455,1948.8306987285614,54,0,2.4993534,18,0,132.59860229492188,0.0,0.05,-5.9914646,1.0,0.0,260.0,132.6,3245.240000000001,13260.0,160.0,,455,1000,955.91,9202.321900000003,95591,1000,
55,28.276975870132446,136.65875,1984.233520746231,55,0,2.496332,19,0,125.19637298583984,0.0,0.05,-5.9914646,1.0,0.0,240.0,125.2,3876.96,12520.0,160.0,,542,1000,965.42,7552.8036,96542,1000,
56,28.503070831298828,137.64471,2019.8833508491516,56,0,2.4961972,18,0,119.1947250366211,0.0,0.05,-5.9914646,1.0,0.0,240.0,119.2,4175.36,11920.0,160.0,,464,1000,951.71,10563.8859,95171,1000,
57,27.316815853118896,138.60352,2054.3299062252045,57,0,2.4967475,10,0,127.39891815185547,0.0,0.05,-5.9914646,1.0,0.0,240.0,127.4,4053.24,12740.0,180.0,,651,1000,945.77,9955.4371,94577,1000,
58,28.24824070930481,139.53496,2089.7000980377197,58,0,2.4961202,6,0,131.2014923095703,0.0,0.05,-5.9914646,1.0,0.0,260.0,131.2,4794.560000000001,13120.0,200.0,,548,1000,964.0,8209.3,96400,950,
59,28.4781014919281,140.4404,2125.299781560898,59,0,2.4962242,10,0,122.5954360961914,0.0,0.05,-5.9914646,1.0,0.0,240.0,122.6,4901.240000000001,12260.0,200.0,,454,1000,961.58,10818.4836,96158,1000,
60,29.177130460739136,141.32164,2161.585147380829,60,0,2.4993594,37,0,148.80052185058594,0.0,0.05,-5.9914646,1.0,0.0,260.0,148.8,3282.5600000000013,14880.0,160.0,,641,1000,980.49,3795.8099000000016,98049,760,
61,26.96496272087097,142.17958,2195.221114397049,61,0,2.4977558,8,0,133.9912872314453,0.0,0.05,-5.9914646,1.0,0.0,240.0,134.0,3900.0,13400.0,200.0,,496,1000,951.3,10938.350000000002,95130,1000,
62,29.642320156097412,143.01433,2231.9715547561646,62,0,2.4984963,2,0,136.21168518066406,0.0,0.05,-5.9914646,1.0,0.0,260.0,136.2,4141.560000000001,13620.0,240.0,,650,1000,983.33,2639.7210999999998,98333,1000,
63,28.692927360534668,143.82857,2267.993834733963,63,0,2.4967308,5,0,140.80673217773438,0.0,0.05,-5.9914646,1.0,0.0,260.0,140.8,2919.36,14080.0,200.0,,460,1000,980.6,4827.72,98060,1000,
64,29.741499662399292,144.6188,2304.8604397773743,64,0,2.4981682,29,0,138.79705810546875,0.0,0.05,-5.9914646,1.0,0.0,240.0,138.8,3950.56,13880.0,160.0,,744,1000,985.75,1804.7275,98575,1000,
65,28.56430959701538,145.3864,2340.5786011219025,65,0,2.497806,26,0,142.59669494628906,0.0,0.05,-5.9914646,1.0,0.0,260.0,142.6,3669.2400000000007,14260.0,160.0,,662,1000,971.75,4766.6075,97175,1000,
66,28.57793402671814,146.13219,2376.2979123592377,66,0,2.4981413,27,0,146.208984375,0.0,0.05,-5.9914646,1.0,0.0,260.0,146.2,3501.56,14620.0,160.0,,498,1000,982.63,4397.6731,98263,1000,
