,n_rejected,unp_rank,walltimes,workertimes,n_reused,generations,grad_norm,param_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
32,0,9,1109.0218532085419,29.21809196472168,0,32,2.12953,90.77451,0.0,0.0,0.050023917,-5.988051,1.0,1.0,0.0,200.0,145.2,1260.9599999999998,14520.0,160.0,,643,1000,966.29,4631.3059,96629,994,
33,0,12,1143.471170425415,29.27366065979004,0,33,2.1286283,92.35429,0.0,0.0,0.050025705,-5.988051,1.0,1.0,0.0,220.0,146.4,1775.0399999999997,14640.0,160.0,,742,1000,981.03,1375.8291,98103,991,
34,0,9,1177.7201585769653,29.07675790786743,0,34,2.1298697,93.88988,0.0,0.0,0.05003904,-5.988051,1.0,1.0,0.0,240.0,146.4,1735.0399999999995,14640.0,160.0,,646,1000,966.38,4100.4156,96638,988,
35,0,12,1211.4893004894257,28.58572030067444,0,35,2.1279557,95.38154,0.0,0.0,0.05004273,-5.988051,1.0,1.0,0.0,220.0,136.8,2613.7599999999993,13680.0,160.0,,547,1000,968.0,5073.44,96800,967,
36,0,8,1245.7102715969086,29.08873200416565,0,36,2.13191,96.82923,0.0,0.0,0.050064746,-5.988051,1.0,1.0,0.0,240.0,141.8,2040.7599999999993,14180.0,160.0,,587,1000,962.81,5365.5539,96281,978,
37,0,11,1279.4126007556915,28.266247987747192,0,37,2.1303682,98.23871,0.0,0.0,0.050085414,-5.968491,1.0,1.0,0.0,240.0,133.6,2895.04,13360.0,160.0,,444,1000,957.56,8237.5664,95756,979,
38,0,12,1313.4523615837097,28.87334418296814,0,38,2.1300194,99.60755,0.0,0.0,0.05013887,-5.968491,1.0,1.0,0.0,220.0,134.4,2800.64,13440.0,160.0,,520,1000,959.91,6244.381900000002,95991,974,
39,0,9,1347.0239207744598,28.307037591934204,0,39,2.1308067,100.93507,0.0,0.0,0.05018478,-5.968491,1.0,1.0,0.0,240.0,139.2,2215.36,13920.0,160.0,,482,1000,957.16,7322.1944,95716,991,
40,0,15,1381.8997597694397,29.647627353668213,0,40,2.1302655,102.223236,0.0,0.0,0.050207075,-5.968491,1.0,1.0,0.0,220.0,146.2,1461.5600000000004,14620.0,160.0,,555,1000,968.2,5612.619999999999,96820,996,
41,0,9,1415.9802076816559,28.927738904953003,0,41,2.1307738,103.47419,0.0,0.0,0.0502421,-5.968491,1.0,1.0,0.0,220.0,142.6,1861.2400000000007,14260.0,160.0,,438,1000,963.53,6299.8291,96353,992,
42,0,13,1450.682757616043,29.561712980270386,0,42,2.1321814,104.68797,0.0,0.0,0.050281562,-5.968491,1.0,1.0,0.0,220.0,143.4,2200.44,14340.0,160.0,,591,1000,977.51,2462.2699,97751,983,
43,0,8,1484.1916635036469,28.396260976791382,0,43,2.1281662,105.86407,0.0,0.0,0.05032884,-5.968491,1.0,1.0,0.0,200.0,139.4,2387.64,13940.0,160.0,,472,1000,952.15,8719.027500000002,95215,984,
44,0,6,1518.2408056259155,28.83816385269165,0,44,2.1302912,107.00758,0.0,0.0,0.050367013,-5.968491,1.0,1.0,0.0,220.0,144.6,1510.84,14460.0,160.0,,499,1000,965.95,5483.3075,96595,987,
45,0,10,1552.8403451442719,29.08743643760681,0,45,2.1310227,108.11723,0.0,0.0,0.050371915,-5.968491,1.0,1.0,0.0,280.0,152.6,1229.2399999999998,15260.0,160.0,,703,1000,976.36,2118.0304,97636,979,
46,0,6,1586.5210514068604,28.398446321487427,0,46,2.1326041,109.19642,0.0,0.0,0.050373185,-5.968491,1.0,1.0,0.0,180.0,150.2,827.9599999999998,15020.0,160.0,,530,1000,965.47,5001.969099999999,96547,978,
