,unp_rank,param_norm,n_rejected,walltimes,generations,n_reused,workertimes,grad_norm,baseline_mu,baseline_sigma,sigma_0,beta_0,sigma_1,beta_1,sigma_2,beta_2,sigma_3,beta_3,sigma_4,beta_4,sigma_5,beta_5,sigma_6,beta_6,sigma_7,beta_7,sigma_8,beta_8,sigma_9,beta_9,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
34,16,108.00954,0,1319.1358289718628,34,0,28.86255145072937,2.496909,154.20425415039062,154.2064208984375,0.050266508,-5.979487,0.05000956,-5.991059,0.049829416,-6.001601,0.04998342,-5.991989,0.049541406,-6.0135236,0.049978737,-5.9920845,0.048877265,-6.022103,0.049986828,-5.992799,0.04982649,-5.9965878,0.049989916,-5.9919734,1.0,1.0,0.0,220.0,154.2,1114.36,15420.0,160.0,,610,1000,978.04,3902.2784,97804,1000,
35,16,109.82117,0,1357.7271740436554,35,0,29.06906008720398,2.4953587,146.79864501953125,146.794189453125,0.050269898,-5.979487,0.05000982,-5.991059,0.04982678,-6.001601,0.049983647,-5.991989,0.049540248,-6.0135236,0.049978916,-5.9920845,0.048974704,-6.022103,0.04998524,-5.992799,0.0498214,-5.9965878,0.049989745,-5.9919734,1.0,1.0,0.0,220.0,146.8,1745.7599999999993,14680.0,160.0,,728,1000,977.79,3394.5059,97779,1000,
36,28,111.5745,0,1396.679193496704,36,0,29.209879159927368,2.1422868,161.7953338623047,161.79075622558594,0.05027347,-5.979487,0.05001005,-5.991059,0.049821325,-6.001601,0.049984157,-5.991989,0.049535535,-6.0135236,0.049979188,-5.9920845,0.049021933,-6.022103,0.04998361,-5.992799,0.049820744,-5.9965878,0.049989566,-5.9919734,1.0,1.0,0.0,240.0,161.8,800.76,16180.0,160.0,,821,1000,988.55,1380.8675000000003,98855,1000,
37,18,113.26747,0,1434.6679978370667,37,0,28.634512186050415,2.4953852,149.40170288085938,149.40609741210938,0.050276827,-5.979487,0.05001018,-5.991059,0.049814995,-6.001601,0.04998466,-5.991989,0.04953339,-6.0135236,0.04997926,-5.9920845,0.049063012,-6.022103,0.049982265,-5.992799,0.049819447,-5.9965878,0.049989402,-5.9919734,1.0,1.0,0.0,240.0,149.4,1835.6399999999996,14940.0,160.0,,545,1000,977.25,4871.1475,97725,1000,
38,16,114.9033,0,1473.0507578849792,38,0,28.936251401901245,2.4947186,153.39854431152344,153.39756774902344,0.05027781,-5.979487,0.050010394,-5.991059,0.049805507,-6.001601,0.04998505,-5.991989,0.049529772,-6.0135236,0.049979214,-5.9920845,0.049101666,-6.022103,0.049980976,-5.992799,0.04981889,-5.9965878,0.049989235,-5.9919734,1.0,1.0,0.0,280.0,153.4,1712.4399999999996,15340.0,160.0,,544,1000,982.78,3560.2516000000014,98278,1000,
39,8,116.485176,0,1511.093321800232,39,0,28.637126445770264,2.49644,137.79100036621094,137.77557373046875,0.050277438,-5.979487,0.050010514,-5.991059,0.049797457,-6.001601,0.04998529,-5.991989,0.04952238,-6.0135236,0.049979296,-5.9920845,0.049146578,-6.022103,0.049979307,-5.992799,0.049817774,-5.9965878,0.049989175,-5.9919734,1.0,1.0,0.0,220.0,137.8,2575.16,13780.0,160.0,,366,1000,972.46,9449.5884,97246,1000,
40,20,118.01555,0,1550.1784806251526,40,0,29.581984996795654,2.4972818,152.9942169189453,152.9888916015625,0.050277762,-5.979487,0.05001062,-5.991059,0.04979331,-6.001601,0.04998561,-5.991989,0.049519572,-6.0135236,0.049979568,-5.9920845,0.049173456,-6.022103,0.049977317,-5.992799,0.04982065,-5.9965878,0.049988985,-5.9919734,1.0,1.0,0.0,260.0,153.0,1059.0,15300.0,160.0,,728,1000,978.57,3363.9250999999995,97857,1000,
41,22,119.49931,0,1588.7925295829773,41,0,29.129891395568848,2.4966884,153.39773559570312,153.3969268798828,0.050279368,-5.979487,0.050010763,-5.991059,0.049785443,-6.001601,0.04998592,-5.991989,0.049512193,-6.0135236,0.049979772,-5.9920845,0.049195312,-6.022103,0.04997553,-5.992799,0.049824342,-5.9965878,0.049988747,-5.9919734,1.0,1.0,0.0,200.0,153.4,1272.44,15340.0,160.0,,768,1000,988.89,1649.2779000000007,98889,1000,
42,20,120.94044,0,1627.8741722106934,42,0,29.681942224502563,2.496293,156.80247497558594,156.80511474609375,0.050280362,-5.979487,0.05001093,-5.991059,0.049775463,-6.001601,0.049986254,-5.991989,0.049506918,-6.0135236,0.049979962,-5.9920845,0.04920085,-6.022103,0.049974386,-5.992799,0.049832743,-5.9965878,0.04998845,-5.9919734,1.0,1.0,0.0,260.0,156.8,1133.7600000000004,15680.0,160.0,,727,1000,985.44,2824.0664,98544,1000,
43,16,122.343124,0,1666.2890400886536,43,0,28.85397744178772,2.4967227,146.39974975585938,146.397216796875,0.050282784,-5.979487,0.05001105,-5.991059,0.049765907,-6.001601,0.04998635,-5.991989,0.049500402,-6.0135236,0.049980406,-5.9920845,0.04921326,-6.022103,0.049973626,-5.992799,0.049840856,-5.9965878,0.049988113,-5.9919734,1.0,1.0,0.0,220.0,146.4,2071.0399999999995,14640.0,160.0,,649,1000,985.27,3171.1370999999986,98527,1000,
44,12,123.70234,0,1704.6123690605164,44,0,28.738837957382202,2.4987109,144.59591674804688,144.58584594726562,0.050288025,-5.979487,0.05001104,-5.991059,0.049758103,-6.001601,0.049986623,-5.991989,0.04948769,-6.0135236,0.049981073,-5.9920845,0.04922665,-6.022103,0.049972825,-5.992799,0.04984756,-5.9965878,0.049987745,-5.9919734,1.0,1.0,0.0,240.0,144.6,2222.8400000000006,14460.0,160.0,,437,1000,974.55,5997.827500000001,97455,1000,
45,15,125.02425,0,1743.9056859016418,45,0,29.75690197944641,2.4972584,148.4013214111328,148.40289306640625,0.050293684,-5.979487,0.05001081,-5.991059,0.04975502,-6.001601,0.04998666,-5.991989,0.049482137,-6.0135236,0.049981788,-5.9920845,0.04923503,-6.022103,0.0499716,-5.992799,0.049854726,-5.9965878,0.049987495,-5.9919734,1.0,1.0,0.0,240.0,148.4,2009.44,14840.0,160.0,,743,1000,979.81,3394.453900000001,97981,1000,
46,9,126.31025,0,1782.4475214481354,46,0,29.00835609436035,2.496311,148.59568786621094,148.5894317626953,0.050296247,-5.979487,0.05001067,-5.991059,0.049753964,-6.001601,0.049986888,-5.991989,0.049474068,-6.0135236,0.049982417,-5.9920845,0.049252126,-6.022103,0.049970385,-5.992799,0.049859647,-5.9965878,0.049987398,-5.9919734,1.0,1.0,0.0,240.0,148.6,2146.039999999999,14860.0,180.0,,645,1000,977.63,3849.5731000000005,97763,1000,
47,7,127.565414,0,1821.375943183899,47,0,29.421396255493164,2.4982631,146.3927459716797,146.38406372070312,0.050298154,-5.979487,0.050010454,-5.991059,0.04974975,-6.001601,0.04998698,-5.991989,0.04946723,-6.0135236,0.049983155,-5.9920845,0.049265716,-6.022103,0.049968358,-5.992799,0.049864214,-5.9965878,0.04998728,-5.9919734,1.0,1.0,0.0,260.0,146.4,2207.0399999999995,14640.0,180.0,,649,1000,976.04,5010.1984,97604,1000,
48,16,128.78622,0,1860.4075911045074,48,0,29.611305475234985,2.4969056,148.99671936035156,148.9955291748047,0.0503001,-5.979487,0.050010324,-5.991059,0.049746633,-6.001601,0.04998697,-5.991989,0.04946154,-6.0135236,0.049983762,-5.9920845,0.04925807,-6.022103,0.04996712,-5.992799,0.049868993,-5.9965878,0.049987245,-5.9919734,1.0,1.0,0.0,220.0,149.0,1379.0,14900.0,160.0,,663,1000,975.23,5088.277099999999,97523,1000,
