,walltimes,n_rejected,n_reused,workertimes,generations,param_norm,unp_rank,grad_norm,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
17,1200.708116054535,0,0,27.12437415122986,17,32.054955,3,2.413419,61.58729553222656,123.13086700439453,0.050026566,-5.9904022216796875,0.049999665,-5.991477966308594,0.05000051,-5.991444110870361,0.05,-5.991464614868164,5.5301324e-08,2.2211725e-06,0.05,0.05,0.0,220.0,61.6,4237.44,6160.0,180.0,,530,1000,934.92,13902.5536,93492,1000,
18,1267.969722032547,0,0,27.79113793373108,18,32.056503,4,2.2426429,46.4127082824707,92.83081817626953,0.050026566,-5.9904022216796875,0.049999654,-5.991478443145752,0.050000522,-5.991443634033203,0.05,-5.991464614868164,5.5550828e-08,2.2285883e-06,0.05,0.05,0.0,240.0,46.4,3575.04,4640.0,160.0,,536,1000,938.09,13635.781900000002,93809,970,
19,1336.6136400699615,0,0,27.872365474700928,19,32.058487,2,2.2430775,43.60286331176758,87.20573425292969,0.050026566,-5.9904022216796875,0.04999964,-5.99147891998291,0.050000533,-5.991443157196045,0.05,-5.991464614868164,5.5737452e-08,2.2343743e-06,0.05,0.05,0.0,220.0,43.6,3107.0400000000013,4360.0,200.0,,638,1000,933.25,13066.7875,93325,1000,
20,1403.2727465629578,0,0,27.048125743865967,20,32.06093,1,2.4941337,63.40754318237305,126.8030014038086,0.050026566,-5.9904022216796875,0.04999963,-5.991479396820068,0.05000055,-5.991442680358887,0.05,-5.991464614868164,5.5881696e-08,2.238885e-06,0.05,0.05,0.0,200.0,63.4,3848.44,6340.0,200.0,,519,1000,926.53,14664.929100000001,92653,1000,
21,1469.0145452022552,0,0,26.16739559173584,21,32.063595,9,2.4957821,64.79811096191406,129.56405639648438,0.050026566,-5.9904022216796875,0.049999617,-5.991479873657227,0.05000056,-5.9914422035217285,0.05,-5.991464614868164,5.5994587e-08,2.2424372e-06,0.05,0.05,0.0,220.0,64.8,4520.959999999999,6480.0,160.0,,523,1000,903.23,19313.9571,90323,971,
22,1536.070235967636,0,0,28.058061599731445,22,32.066715,2,2.4104583,57.399986267089844,114.7986831665039,0.050026566,-5.9904022216796875,0.049999606,-5.991480350494385,0.05000057,-5.99144172668457,0.05,-5.991464614868164,5.6083238e-08,2.2450529e-06,0.05,0.05,0.0,180.0,57.4,3861.24,5740.0,160.0,,573,1000,936.24,11761.122399999998,93624,990,
23,1602.185432434082,0,0,27.011210441589355,23,32.07014,3,2.4675674,59.596946716308594,119.2119369506836,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.050000582,-5.991441249847412,0.05,-5.991464614868164,5.6148416e-08,2.246998e-06,0.05,0.05,0.0,200.0,59.6,4247.84,5960.0,160.0,,558,1000,936.83,13335.121099999998,93683,975,
24,1669.4603850841522,0,0,27.437227725982666,24,32.073864,7,2.4927883,67.4019546508789,134.81529235839844,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.050000597,-5.991440773010254,0.05,-5.991464614868164,5.6196864e-08,2.2484783e-06,0.05,0.05,0.0,220.0,67.4,4653.240000000001,6740.0,160.0,,593,1000,938.61,11218.297899999996,93861,990,
25,1736.762249469757,0,0,27.35636067390442,25,32.07797,6,2.4945502,64.1937484741211,128.38125610351562,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.050000608,-5.991440296173096,0.05,-5.991464614868164,5.623372e-08,2.2497816e-06,0.05,0.05,0.0,200.0,64.2,3874.36,6420.0,160.0,,412,1000,910.54,18719.808399999998,91054,985,
26,1804.1266829967499,0,0,27.587212800979614,26,32.08256,6,2.4660745,64.79740905761719,129.55557250976562,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.05000062,-5.9914398193359375,0.05,-5.991464614868164,5.6266064e-08,2.2507686e-06,0.05,0.05,0.0,220.0,64.8,4688.96,6480.0,160.0,,727,1000,947.98,8369.1596,94798,982,
27,1870.6615073680878,0,0,27.060136556625366,27,32.08754,7,2.4143133,55.595848083496094,111.20883178710938,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.05000063,-5.991439342498779,0.05,-5.991464614868164,5.6290556e-08,2.2516251e-06,0.05,0.05,0.0,200.0,55.6,3876.64,5560.0,160.0,,513,1000,933.53,13843.949100000003,93353,980,
28,1937.479079246521,0,0,26.655892610549927,28,32.09272,6,2.4940548,68.99995422363281,138.00852966308594,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.05000064,-5.991438865661621,0.05,-5.991464614868164,5.631193e-08,2.2523548e-06,0.05,0.05,0.0,180.0,69.0,4155.0,6900.0,160.0,,466,1000,912.88,17251.4456,91288,980,
29,2004.7601749897003,0,0,27.718722343444824,29,32.098087,4,2.4654758,65.78845977783203,131.5865478515625,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.050000653,-5.991438388824463,0.05,-5.991464614868164,5.6329966e-08,2.2529641e-06,0.05,0.05,0.0,220.0,65.8,4554.36,6580.0,160.0,,501,1000,934.46,13383.488400000004,93446,998,
30,2072.2851960659027,0,0,27.705141305923462,30,32.103672,5,2.4145033,62.203765869140625,124.40897369384766,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.050000664,-5.991437911987305,0.05,-5.991464614868164,5.6345176e-08,2.253522e-06,0.05,0.05,0.0,200.0,62.2,4143.160000000001,6220.0,160.0,,561,1000,932.08,13521.333599999998,93208,973,
31,2138.346858024597,0,0,26.27738046646118,31,32.10932,3,2.4960568,69.80197143554688,139.5791473388672,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.05000068,-5.9914374351501465,0.05,-5.991464614868164,5.6359056e-08,2.2540153e-06,0.05,0.05,0.0,260.0,69.8,4243.96,6980.0,160.0,,381,1000,905.17,19296.4411,90517,973,
32,2205.737892150879,0,0,28.536412954330444,32,32.115086,8,2.3619893,66.00023651123047,132.05584716796875,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.05000069,-5.991436958312988,0.05,-5.991464614868164,5.637127e-08,2.2544518e-06,0.05,0.05,0.0,240.0,66.0,4812.0,6600.0,160.0,,511,1000,923.57,17413.485099999998,92357,995,
33,2271.435549736023,0,0,26.62990117073059,33,32.12096,6,2.495237,70.58946228027344,141.17921447753906,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.0500007,-5.99143648147583,0.05,-5.991464614868164,5.6382078e-08,2.2548254e-06,0.05,0.05,0.0,240.0,70.6,4819.639999999999,7060.0,160.0,,463,1000,938.03,13399.329099999999,93803,984,
34,2339.504911661148,0,0,27.987093925476074,34,32.126812,8,2.3625631,80.79484558105469,161.53829956054688,0.050026566,-5.9904022216796875,0.04999959,-5.991480827331543,0.0500007,-5.99143648147583,0.05,-5.991464614868164,5.639134e-08,2.2559666e-06,0.05,0.05,0.0,220.0,80.8,4735.36,8080.0,160.0,,535,1000,944.45,10598.1875,94445,986,
