,walltimes,unp_rank,generations,n_reused,n_rejected,grad_norm,workertimes,param_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
27,96.98481726646423,1,27,0,0,0.24334967,3.380481243133545,14.60728,0.0,0.0,0.05,-5.9914646,1.0,-1.7578295469284058,-1.5398167371749878,-1.6502463817596436,0.002366026397794485,-165.02464294433594,-1.4437228,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
28,100.22866916656494,1,28,0,0,0.24361499,3.0726163387298584,14.66634,0.0,0.0,0.05,-5.9914646,1.0,-1.7802176475524902,-1.5201871395111084,-1.6379873752593994,0.002435641596093774,-163.79873657226562,-1.387562,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
29,103.63632154464722,1,29,0,0,0.24475817,3.2333669662475586,14.72708,0.0,0.0,0.05,-5.9914646,1.0,-1.7439570426940918,-1.4960402250289917,-1.614656925201416,0.0019080479396507144,-161.4656982421875,-1.3820341,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
30,106.96537232398987,1,30,0,0,0.24362086,3.154097318649292,14.786294,0.0,0.0,0.05,-5.9914646,1.0,-1.7480766773223877,-1.470960259437561,-1.5984245538711548,0.002603893168270588,-159.8424530029297,-1.3926498,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
31,110.3320951461792,1,31,0,0,0.24221404,3.2345879077911377,14.846685,0.0,0.0,0.05,-5.9914646,1.0,-1.6984412670135498,-1.4800381660461426,-1.5862911939620972,0.0017303838394582272,-158.62911987304688,-1.3830181,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
32,113.56640219688416,1,32,0,0,0.24273203,3.06143856048584,14.90501,0.0,0.0,0.05,-5.9914646,1.0,-1.6555076837539673,-1.464152216911316,-1.561366319656372,0.0016218131640926003,-156.13662719726562,-1.3504486,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
33,116.75907039642334,1,33,0,0,0.24202277,3.020036458969116,14.966011,0.0,0.0,0.05,-5.9914646,1.0,-1.6665457487106323,-1.4727880954742432,-1.554938554763794,0.0014114226214587688,-155.4938507080078,-1.3454571,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
34,120.04806232452393,1,34,0,0,0.24139525,3.1136562824249268,15.027422,0.0,0.0,0.05,-5.9914646,1.0,-1.6389927864074707,-1.4253839254379272,-1.536062479019165,0.0017471435712650418,-153.6062469482422,-1.296486,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
35,123.35612273216248,1,35,0,0,0.24169298,3.139749765396118,15.091714,0.0,0.0,0.05,-5.9914646,1.0,-1.6330820322036743,-1.4095584154129028,-1.5243029594421387,0.0019171694293618202,-152.4302978515625,-1.308648,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
36,126.72928428649902,1,36,0,0,0.24327146,3.2001447677612305,15.154147,0.0,0.0,0.05,-5.9914646,1.0,-1.5898555517196655,-1.4178428649902344,-1.5107290744781494,0.0015247984556481242,-151.07290649414062,-1.2775062,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
37,130.07963275909424,1,37,0,0,0.2442963,3.176140546798706,15.215881,0.0,0.0,0.05,-5.9914646,1.0,-1.5954519510269165,-1.3987152576446533,-1.4994323253631592,0.0013049289118498564,-149.9432373046875,-1.3236488,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
38,133.38328981399536,1,38,0,0,0.24556236,3.133364200592041,15.276968,0.0,0.0,0.05,-5.9914646,1.0,-1.5795831680297852,-1.418851613998413,-1.4878350496292114,0.001335352542810142,-148.78350830078125,-1.2992725,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
39,136.6206874847412,1,39,0,0,0.24429218,3.0696327686309814,15.336804,0.0,0.0,0.05,-5.9914646,1.0,-1.5855917930603027,-1.353694200515747,-1.4741367101669312,0.0015016226097941399,-147.41366577148438,-1.2882168,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
40,139.98748421669006,1,40,0,0,0.24164784,3.193603515625,15.396068,0.0,0.0,0.05,-5.9914646,1.0,-1.569223165512085,-1.318778395652771,-1.460296630859375,0.001730564865283668,-146.0296630859375,-1.2702309,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
41,143.50929355621338,1,41,0,0,0.24222592,3.348762273788452,15.453678,0.0,0.0,0.05,-5.9914646,1.0,-1.5616306066513062,-1.3607925176620483,-1.4483709335327148,0.0017472272738814354,-144.83709716796875,-1.2449534,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
42,146.8127110004425,1,42,0,0,0.2441568,3.1298813819885254,15.508948,0.0,0.0,0.05,-5.9914646,1.0,-1.5255533456802368,-1.303795576095581,-1.4315423965454102,0.0018315516645088792,-143.15423583984375,-1.2663486,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
43,150.11464166641235,1,43,0,0,0.24256758,3.12831711769104,15.566093,0.0,0.0,0.05,-5.9914646,1.0,-1.5007292032241821,-1.3131773471832275,-1.422163963317871,0.0016719428822398186,-142.21640014648438,-1.203615,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
44,153.3462963104248,1,44,0,0,0.24193266,3.0589346885681152,15.621886,0.0,0.0,0.05,-5.9914646,1.0,-1.4900598526000977,-1.3232334852218628,-1.4091960191726685,0.001501191989518702,-140.9196014404297,-1.1931741,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
45,156.7038881778717,1,45,0,0,0.24134488,3.1823484897613525,15.677545,0.0,0.0,0.05,-5.9914646,1.0,-1.503931999206543,-1.3037410974502563,-1.390127420425415,0.0012775920331478119,-139.0127410888672,-1.1903468,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
46,160.3476221561432,1,46,0,0,0.24516425,3.471174716949463,15.728929,0.0,0.0,0.05,-5.9914646,1.0,-1.4805290699005127,-1.279059648513794,-1.3774216175079346,0.0014002997195348144,-137.74215698242188,-1.1928593,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
47,163.7216658592224,1,47,0,0,0.24432085,3.2001166343688965,15.780742,0.0,0.0,0.05,-5.9914646,1.0,-1.4552627801895142,-1.2610578536987305,-1.354478359222412,0.001543538412079215,-135.4478302001953,-1.1746752,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
48,166.95383167266846,1,48,0,0,0.24284945,3.0603599548339844,15.830515,0.0,0.0,0.05,-5.9914646,1.0,-1.428494930267334,-1.260355830192566,-1.3529342412948608,0.0012689961586147547,-135.29342651367188,-1.160526,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
49,170.27023029327393,1,49,0,0,0.24272434,3.148634910583496,15.880291,0.0,0.0,0.05,-5.9914646,1.0,-1.4406203031539917,-1.2519972324371338,-1.3377381563186646,0.0013774088583886623,-133.77381896972656,-1.1536772,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
50,176.33940386772156,1,50,0,0,0.24344492,5.860070466995239,15.930425,0.0,0.0,0.05,-5.9914646,1.0,-1.443286418914795,-1.249696969985962,-1.3283569812774658,0.0014506326988339424,-132.835693359375,-1.1287966,-1.138729,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
51,179.95597004890442,1,51,0,0,0.24255101,3.407461404800415,15.979301,0.0,0.0,0.05,-5.9914646,1.0,-1.3863009214401245,-1.2496625185012817,-1.3173211812973022,0.0010665401350706816,-131.73211669921875,-1.1429713,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
52,183.52434301376343,1,52,0,0,0.24364929,3.3722012042999268,16.027874,0.0,0.0,0.05,-5.9914646,1.0,-1.4111409187316895,-1.2298887968063354,-1.3056505918502808,0.0011963872238993645,-130.5650634765625,-1.1574585,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
53,187.01978015899658,1,53,0,0,0.24240512,3.2916688919067383,16.072483,0.0,0.0,0.05,-5.9914646,1.0,-1.3644776344299316,-1.1971027851104736,-1.2916373014450073,0.0011534761870279908,-129.16372680664062,-1.0941255,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
54,190.09289455413818,1,54,0,0,0.24311762,2.8759350776672363,16.115582,0.0,0.0,0.05,-5.9914646,1.0,-1.3852601051330566,-1.2122968435287476,-1.28432297706604,0.0011086281156167388,-128.4322967529297,-1.097673,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
55,193.55431723594666,1,55,0,0,0.2428116,3.291316509246826,16.159595,0.0,0.0,0.05,-5.9914646,1.0,-1.3949166536331177,-1.1760058403015137,-1.2749067544937134,0.0013272649375721812,-127.49067687988281,-1.0992979,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
56,196.95301413536072,1,56,0,0,0.24397884,3.219078779220581,16.205486,0.0,0.0,0.05,-5.9914646,1.0,-1.3639776706695557,-1.181268334388733,-1.2699717283248901,0.001223463797941804,-126.99717712402344,-1.0938028,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
57,200.38782262802124,1,57,0,0,0.24275726,3.2592599391937256,16.250687,0.0,0.0,0.05,-5.9914646,1.0,-1.3509407043457031,-1.1770715713500977,-1.2527507543563843,0.0010370854288339615,-125.27507019042969,-1.0840079,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
58,204.06444430351257,1,58,0,0,0.24485843,3.502636671066284,16.295206,0.0,0.0,0.05,-5.9914646,1.0,-1.3323765993118286,-1.1894007921218872,-1.2528760433197021,0.0009880097350105643,-125.28760528564453,-1.0612572,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
59,207.50264191627502,1,59,0,0,0.24325041,3.2653212547302246,16.340061,0.0,0.0,0.05,-5.9914646,1.0,-1.3303991556167603,-1.1681249141693115,-1.2427130937576294,0.0010427203960716724,-124.27130889892578,-1.1142474,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
60,210.91881227493286,1,60,0,0,0.24282488,3.245361566543579,16.384409,0.0,0.0,0.05,-5.9914646,1.0,-1.3116275072097778,-1.16071355342865,-1.2294071912765503,0.0009193416917696595,-122.94071960449219,-1.0561692,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
61,214.31920790672302,1,61,0,0,0.2452858,3.229902982711792,16.42497,0.0,0.0,0.05,-5.9914646,1.0,-1.3202859163284302,-1.148844599723816,-1.2245509624481201,0.0012105484493076801,-122.45509338378906,-1.0795143,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
62,217.83065629005432,1,62,0,0,0.24411407,3.339322805404663,16.459389,0.0,0.0,0.05,-5.9914646,1.0,-1.2903039455413818,-1.150515079498291,-1.216905117034912,0.0008836889173835516,-121.69051361083984,-1.1033828,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
63,221.36718225479126,1,63,0,0,0.24315761,3.3637211322784424,16.494104,0.0,0.0,0.05,-5.9914646,1.0,-1.2684056758880615,-1.1387419700622559,-1.206578016281128,0.0008647942449897528,-120.65780639648438,-1.0817509,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
