,n_reused,param_norm,unp_rank,workertimes,generations,walltimes,n_rejected,grad_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
76,0,23.936476,1,3.4981589317321777,76,272.9767496585846,0,4.8558426,0.0,0.0,0.05,-5.9914646,0.05,-0.6730210781097412,-0.4795396029949188,-0.5762960314750671,0.0009085105848498642,-57.62960433959961,-0.44264984,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
77,0,24.057047,1,3.001669406890869,77,276.15266394615173,0,4.871432,0.0,0.0,0.05,-5.9914646,0.05,-0.6452153325080872,-0.5019091963768005,-0.5691826939582825,0.0008786051766946912,-56.918270111083984,-0.43458107,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
78,0,24.177147,1,3.6924338340759277,78,280.01885986328125,0,4.8262396,0.0,0.0,0.05,-5.9914646,0.05,-0.6284744739532471,-0.492983341217041,-0.561028242111206,0.0008438961231149733,-56.10282516479492,-0.4058555,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
79,0,24.296495,1,3.419093370437622,79,283.6108226776123,0,4.8679876,0.0,0.0,0.05,-5.9914646,0.05,-0.6472833752632141,-0.4849373698234558,-0.5594810247421265,0.0008284128271043301,-55.94810104370117,-0.45248097,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
80,0,24.41579,1,3.3746163845062256,80,287.1571133136749,0,4.865962,0.0,0.0,0.05,-5.9914646,0.05,-0.6185923218727112,-0.47934189438819885,-0.5496305823326111,0.0007171377656050026,-54.96305847167969,-0.46394318,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
81,0,24.534618,1,3.556842565536499,81,290.88201785087585,0,4.845906,0.0,0.0,0.05,-5.9914646,0.05,-0.6221446990966797,-0.47349533438682556,-0.543917715549469,0.0009667393751442432,-54.39177322387695,-0.43288618,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
82,0,24.652815,1,3.33878755569458,82,294.3532099723816,0,4.8441424,0.0,0.0,0.05,-5.9914646,0.05,-0.5976774096488953,-0.4755018949508667,-0.5396397709846497,0.0007155158091336489,-53.9639778137207,-0.47380406,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
83,0,24.767536,1,3.5031850337982178,83,298.014479637146,0,4.8213882,0.0,0.0,0.05,-5.9914646,0.05,-0.5806943774223328,-0.45006462931632996,-0.5244556665420532,0.000793762446846813,-52.4455680847168,-0.40049157,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
84,0,24.883291,1,3.5710971355438232,84,301.7587535381317,0,4.8443136,0.0,0.0,0.05,-5.9914646,0.05,-0.5933496356010437,-0.4396149218082428,-0.520859956741333,0.0007293368107639253,-52.085994720458984,-0.42430836,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
85,0,24.999088,2,3.5151281356811523,85,305.43679022789,0,4.8315783,0.0,0.0,0.05,-5.9914646,0.05,-0.5775760412216187,-0.4445638954639435,-0.5104245543479919,0.0005899729439988732,-51.04245376586914,-0.4468964,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
86,0,25.112364,2,3.430797576904297,86,309.039968252182,0,4.863065,0.0,0.0,0.05,-5.9914646,0.05,-0.6011273860931396,-0.43406936526298523,-0.510809063911438,0.0007874775910750031,-51.08090591430664,-0.4343686,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
87,0,25.223085,1,3.5451817512512207,87,312.758337020874,0,4.8088226,0.0,0.0,0.05,-5.9914646,0.05,-0.5868275761604309,-0.4350575804710388,-0.5051466822624207,0.0006970337708480656,-50.51466751098633,-0.38707626,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
88,0,25.331787,1,3.3258512020111084,88,316.25833773612976,0,4.849964,0.0,0.0,0.05,-5.9914646,0.05,-0.5618659853935242,-0.446034699678421,-0.4976012110710144,0.0006567103555426002,-49.7601203918457,-0.40990195,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
89,0,25.43979,1,3.00774884223938,89,319.43505573272705,0,4.876609,0.0,0.0,0.05,-5.9914646,0.05,-0.5655626058578491,-0.4368895888328552,-0.4944015145301819,0.0007365202181972563,-49.44015121459961,-0.38519666,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
90,0,25.54649,1,3.1633405685424805,90,322.7664484977722,0,4.8501644,0.0,0.0,0.05,-5.9914646,0.05,-0.5472199320793152,-0.43554139137268066,-0.4895746111869812,0.0005778896156698465,-48.957462310791016,-0.3824496,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
91,0,25.65214,1,3.600156307220459,91,326.5395407676697,0,4.85395,0.0,0.0,0.05,-5.9914646,0.05,-0.54726642370224,-0.4234837591648102,-0.4812090992927551,0.0006243164534680545,-48.12091064453125,-0.3909554,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
92,0,25.758688,1,3.478382110595703,92,330.19166803359985,0,4.8612194,0.0,0.0,0.05,-5.9914646,0.05,-0.5396162271499634,-0.41239088773727417,-0.4800094962120056,0.0007934767636470497,-48.00094985961914,-0.377041,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
93,0,25.863708,1,3.9396708011627197,93,334.3056969642639,0,4.837886,0.0,0.0,0.05,-5.9914646,0.05,-0.5389056205749512,-0.41050228476524353,-0.4750325381755829,0.0006610983400605619,-47.50325393676758,-0.39387336,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
94,0,25.96817,1,3.478257179260254,94,337.9570426940918,0,4.8410287,0.0,0.0,0.05,-5.9914646,0.05,-0.5358465313911438,-0.39773303270339966,-0.4681073725223541,0.0007502684602513909,-46.81073760986328,-0.3931304,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
95,0,26.071474,1,3.5306344032287598,95,341.6612665653229,0,4.863783,0.0,0.0,0.05,-5.9914646,0.05,-0.5388957262039185,-0.4094381630420685,-0.46777427196502686,0.0007623553392477334,-46.777427673339844,-0.39684716,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
96,0,26.174809,1,3.395646572113037,96,345.2356038093567,0,4.8545327,0.0,0.0,0.05,-5.9914646,0.05,-0.5315612554550171,-0.3961966931819916,-0.4660964608192444,0.0006064451881684363,-46.60964584350586,-0.341004,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
97,0,26.27729,1,3.493286371231079,97,348.90246391296387,0,4.87394,0.0,0.0,0.05,-5.9914646,0.05,-0.5244747400283813,-0.3999648094177246,-0.46020394563674927,0.0006546828662976623,-46.02039337158203,-0.37444374,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
98,0,26.38151,1,3.494351863861084,98,352.5711054801941,0,4.882329,0.0,0.0,0.05,-5.9914646,0.05,-0.5425772666931152,-0.3938768208026886,-0.4565722346305847,0.0010007093660533428,-45.657222747802734,-0.33106005,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
99,0,26.485079,1,3.6105153560638428,99,356.35063457489014,0,4.813755,0.0,0.0,0.05,-5.9914646,0.05,-0.5301136374473572,-0.3800159692764282,-0.45149287581443787,0.0007370223174802959,-45.149288177490234,-0.34516722,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
