,n_rejected,unp_rank,generations,workertimes,param_norm,walltimes,grad_norm,n_reused,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
42,0,5,42,28.155980110168457,136.88956,1527.5204236507416,49.905758,0,141.1954803466797,0.0,0.05,-5.9914646,0.05,0.0,180.0,141.2,1358.56,14120.0,160.0,,622,1000,949.07,7039.7251000000015,94907,982,
43,0,12,43,28.53827452659607,139.04439,1563.1003563404083,49.884064,0,149.80027770996094,0.0,0.05,-5.9914646,0.05,0.0,240.0,149.8,1291.9599999999998,14980.0,160.0,,649,1000,960.86,5100.5804,96086,978,
44,0,7,44,27.781646013259888,141.1668,1597.9350183010101,49.87961,0,142.5971221923828,0.0,0.05,-5.9914646,0.05,0.0,200.0,142.6,1541.2400000000007,14260.0,160.0,,642,1000,961.96,5367.5383999999995,96196,995,
45,0,13,45,28.7120361328125,143.26108,1633.8285520076752,49.87284,0,150.4019775390625,0.0,0.05,-5.9914646,0.05,0.0,220.0,150.4,1115.8400000000004,15040.0,160.0,,582,1000,961.38,5928.535599999999,96138,978,
46,0,15,46,28.9252610206604,145.32474,1669.7895238399506,49.898846,0,146.19369506835938,0.0,0.05,-5.9914646,0.05,0.0,240.0,146.2,1829.56,14620.0,160.0,,660,1000,960.91,5135.7819,96091,976,
47,0,22,47,29.116762399673462,147.36243,1705.9495346546173,49.897022,0,154.9983367919922,0.0,0.05,-5.9914646,0.05,0.0,240.0,155.0,1291.0,15500.0,160.0,,486,1000,960.19,7456.013899999998,96019,982,
48,0,7,48,29.056567192077637,149.37404,1742.0593497753143,49.884453,0,146.20021057128906,0.0,0.05,-5.9914646,0.05,0.0,200.0,146.2,1197.5599999999997,14620.0,160.0,,645,1000,960.52,5621.709600000001,96052,978,
49,0,6,49,28.494056463241577,151.3569,1777.710887670517,49.884773,0,146.6035919189453,0.0,0.05,-5.9914646,0.05,0.0,200.0,146.6,1472.44,14660.0,180.0,,652,1000,968.68,4350.197599999999,96868,1000,
50,0,4,50,28.833585739135742,153.31665,1813.6893908977509,49.868755,0,142.5933380126953,0.0,0.05,-5.9914646,0.05,0.0,220.0,142.6,2077.2400000000007,14260.0,180.0,,646,1000,974.04,3508.3983999999996,97404,1000,
51,0,68,51,29.124556303024292,155.24918,1850.1288480758667,49.86995,0,141.39691162109375,0.0,0.05,-5.9914646,0.05,0.0,260.0,141.4,1858.0399999999995,14140.0,140.0,,735,1000,970.83,3548.601100000001,97083,1000,
52,0,77,52,28.123468160629272,157.15555,1885.7865862846375,49.894714,0,144.3948516845703,0.0,0.05,-5.9914646,0.05,0.0,220.0,144.4,2164.6399999999994,14440.0,140.0,,649,1000,971.28,4235.8616,97128,997,
53,0,8,53,29.013254642486572,159.0375,1922.111097574234,49.886745,0,144.59495544433594,0.0,0.05,-5.9914646,0.05,0.0,220.0,144.6,1910.84,14460.0,160.0,,739,1000,969.81,3561.5539000000003,96981,1000,
54,0,13,54,28.318331956863403,160.89633,1957.7012403011322,49.895924,0,144.00743103027344,0.0,0.05,-5.9914646,0.05,0.0,240.0,144.0,1792.0,14400.0,160.0,,646,1000,963.04,5223.1184,96304,1000,
55,0,72,55,28.35358762741089,162.73457,1993.2085995674133,49.870296,0,136.6022186279297,0.0,0.05,-5.9914646,0.05,0.0,220.0,136.6,2056.44,13660.0,120.0,,529,1000,959.51,7411.149900000001,95951,849,
56,0,75,56,28.261077165603638,164.55492,2028.2893552780151,49.851635,0,142.7984619140625,0.0,0.05,-5.9914646,0.05,0.0,240.0,142.8,1976.16,14280.0,120.0,,614,1000,954.28,7872.021599999998,95428,856,
57,0,73,57,28.802237033843994,166.3546,2063.9134097099304,49.852978,0,146.19935607910156,0.0,0.05,-5.9914646,0.05,0.0,260.0,146.2,1693.56,14620.0,120.0,,471,1000,959.99,7491.3699,95999,855,
58,0,5,58,29.364044427871704,168.13632,2100.091244459152,49.909996,0,151.79803466796875,0.0,0.05,-5.9914646,0.05,40.0,220.0,151.8,1080.7600000000002,15180.0,180.0,,652,1000,973.9,3856.7100000000005,97390,1000,
59,0,1,59,28.36739945411682,169.89969,2135.6065695285797,49.823925,0,138.40072631835938,0.0,0.05,-5.9914646,0.05,0.0,220.0,138.4,1909.4399999999996,13840.0,220.0,,499,1000,956.28,7527.5016,95628,1000,
60,0,11,60,29.43987274169922,171.64401,2172.206100463867,49.8707,0,146.0066375732422,0.0,0.05,-5.9914646,0.05,0.0,260.0,146.0,2076.0,14600.0,180.0,,679,1000,980.37,3073.1331,98037,1000,
61,0,5,61,27.69544744491577,173.36954,2207.115091562271,49.928238,0,144.60116577148438,0.0,0.05,-5.9914646,0.05,20.0,240.0,144.6,1822.84,14460.0,200.0,,522,1000,944.47,11836.1091,94447,1000,
62,0,5,62,28.48242998123169,175.07669,2242.7721304893494,49.905247,0,148.2021026611328,0.0,0.05,-5.9914646,0.05,0.0,260.0,148.2,1872.7599999999998,14820.0,220.0,,661,1000,975.12,5103.905599999998,97512,1000,
63,0,3,63,28.744515419006348,176.76549,2278.6637160778046,49.839855,0,141.80093383789062,0.0,0.05,-5.9914646,0.05,0.0,240.0,141.8,2216.7599999999993,14180.0,220.0,,653,1000,967.99,4800.1099,96799,1000,
