,generations,walltimes,n_reused,unp_rank,workertimes,n_rejected,param_norm,grad_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
262,262,8871.112064123154,0,80,29.800159215927124,0,150.09215,2.1338544,0.0,0.0,0.05,-5.9914646,1.0,40.0,260.0,175.4,1726.84,17540.0,140.0,,670,1000,982.59,3517.4619000000002,98259,1000,
263,263,8904.983000040054,0,75,28.85678768157959,0,150.09789,2.1322014,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,165.0,1795.0,16500.0,140.0,,703,1000,977.46,3494.568399999999,97746,937,
264,264,8938.062730312347,0,32,28.16854977607727,0,150.10567,2.1331394,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,158.6,2698.04,15860.0,180.0,,510,1000,973.13,6506.633100000001,97313,1000,
265,265,8971.77615571022,0,24,28.575052976608276,0,150.11337,2.1319118,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,164.2,2850.36,16420.0,200.0,,675,1000,977.77,3460.197100000001,97777,1000,
266,266,9006.309351682663,0,20,29.50526189804077,0,150.12137,2.134428,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,163.4,2864.44,16340.0,200.0,,577,1000,973.98,5516.279600000002,97398,1000,
267,267,9040.256917953491,0,18,28.91534686088562,0,150.1297,2.1322825,0.0,0.0,0.05,-5.9914646,1.0,20.0,280.0,165.0,2419.0,16500.0,200.0,,737,1000,981.85,2460.3475,98185,1000,
268,268,9072.98586177826,0,9,27.691791772842407,0,150.13675,2.1343517,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,156.8,3061.76,15680.0,220.0,,531,1000,969.17,8311.881099999999,96917,1000,
269,269,9106.537595748901,0,3,28.502419233322144,0,150.1428,2.132241,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,154.4,2776.64,15440.0,240.0,,633,1000,973.03,5953.3491,97303,1000,
270,270,9139.551163196564,0,21,27.983524322509766,0,150.15045,2.1336734,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,166.6,2416.4399999999996,16660.0,200.0,,548,1000,968.26,6696.452400000001,96826,1000,
271,271,9174.243579626083,0,14,29.580049753189087,0,150.16046,2.1347475,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,173.0,2211.0,17300.0,220.0,,828,1000,987.86,1408.9603999999997,98786,1000,
272,272,9208.512973070145,0,26,28.89503812789917,0,150.17068,2.1327336,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,169.2,2755.36,16920.0,200.0,,505,1000,977.87,5751.6530999999995,97787,1000,
273,273,9241.477628946304,0,75,27.951331853866577,0,150.18051,2.131244,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,158.0,2588.0,15800.0,120.0,,671,1000,975.0,5090.84,97500,728,
274,274,9274.824953317642,0,23,28.923484325408936,0,150.19011,2.1316893,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,172.8,2124.16,17280.0,200.0,,655,1000,979.16,3993.8344000000006,97916,1000,
275,275,9308.864748954773,0,4,29.02135443687439,0,150.19882,2.1334763,0.0,0.0,0.05,-5.9914646,1.0,80.0,240.0,163.4,1432.44,16340.0,220.0,,659,1000,981.93,2892.405100000001,98193,1000,
276,276,9342.68749332428,0,13,28.716801643371582,0,150.20644,2.1327531,0.0,0.0,0.05,-5.9914646,1.0,60.0,260.0,164.8,2368.9600000000005,16480.0,220.0,,576,1000,984.31,3723.7138999999997,98431,1000,
277,277,9375.615290164948,0,79,27.90433645248413,0,150.21619,2.1340055,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,161.6,1805.44,16160.0,120.0,,459,1000,970.96,6562.158400000002,97096,703,
278,278,9409.331465244293,0,28,29.23102307319641,0,150.22633,2.1317775,0.0,0.0,0.05,-5.9914646,1.0,100.0,260.0,180.4,1615.84,18040.0,200.0,,684,1000,985.69,2307.6339000000003,98569,1000,
279,279,9443.963120698929,0,27,29.460591554641724,0,150.23642,2.1337574,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,163.6,1987.0399999999995,16360.0,180.0,,795,1000,990.27,1116.1171,99027,950,
280,280,9478.184821367264,0,10,29.1160945892334,0,150.24553,2.133203,0.0,0.0,0.05,-5.9914646,1.0,100.0,260.0,172.2,1847.16,17220.0,220.0,,697,1000,988.08,1881.5335999999998,98808,1000,
281,281,9512.564452409744,0,7,29.355901956558228,0,150.2529,2.132553,0.0,0.0,0.05,-5.9914646,1.0,100.0,240.0,173.4,1800.44,17340.0,220.0,,835,1000,991.4,865.3400000000001,99140,1000,
282,282,9547.244308233261,0,12,29.65867042541504,0,150.25874,2.132011,0.0,0.0,0.05,-5.9914646,1.0,40.0,260.0,168.4,2441.44,16840.0,220.0,,711,1000,987.75,1991.5075,98775,1000,
283,283,9580.96708226204,0,33,28.789236783981323,0,150.26306,2.1341417,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,177.8,2423.16,17780.0,200.0,,458,1000,978.97,5657.149099999999,97897,1000,
284,284,9615.158532857895,0,16,29.173823833465576,0,150.26665,2.1332946,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,176.2,2749.56,17620.0,220.0,,447,1000,986.6,3777.92,98660,1000,
285,285,9649.170644521713,0,16,28.995437145233154,0,150.27168,2.133192,0.0,0.0,0.05,-5.9914646,1.0,20.0,240.0,155.8,2178.36,15580.0,200.0,,531,1000,981.32,3732.2576,98132,1000,
286,286,9684.160626649857,0,7,29.87282156944275,0,150.27725,2.1336985,0.0,0.0,0.05,-5.9914646,1.0,100.0,240.0,163.8,2365.56,16380.0,220.0,,704,1000,989.56,1497.3863999999992,98956,1000,
287,287,9718.787200689316,0,9,29.584213256835938,0,150.28374,2.1334207,0.0,0.0,0.05,-5.9914646,1.0,100.0,260.0,170.2,2139.9600000000005,17020.0,220.0,,665,1000,985.77,1885.9571000000003,98577,1000,
288,288,9753.246304273605,0,14,29.334018230438232,0,150.2897,2.1306415,0.0,0.0,0.05,-5.9914646,1.0,100.0,280.0,168.8,2554.56,16880.0,220.0,,679,1000,985.2,2166.16,98520,1000,
289,289,9787.401349306107,0,5,29.0268235206604,0,150.2935,2.1360404,0.0,0.0,0.05,-5.9914646,1.0,0.0,280.0,172.8,2404.16,17280.0,240.0,,463,1000,975.52,5432.8096,97552,1000,
290,290,9822.77429819107,0,11,30.032874584197998,0,150.29683,2.1322823,0.0,0.0,0.05,-5.9914646,1.0,100.0,260.0,177.2,1912.1599999999996,17720.0,220.0,,621,1000,988.14,2286.520400000001,98814,1000,
291,291,9856.533552646637,0,14,28.722904682159424,0,150.3004,2.1330512,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,176.6,2528.44,17660.0,220.0,,601,1000,973.56,5342.1664,97356,1000,
292,292,9890.424189805984,0,3,28.845879793167114,0,150.30254,2.1328928,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,170.6,2019.6399999999994,17060.0,240.0,,692,1000,976.67,4192.461099999999,97667,1000,
293,293,9923.795757770538,0,3,28.339372873306274,0,150.30182,2.1329055,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,174.4,1936.64,17440.0,240.0,,664,1000,985.78,2759.1916,98578,1000,
294,294,9956.852051258087,0,33,27.88270401954651,0,150.29945,2.1307912,0.0,0.0,0.05,-5.9914646,1.0,20.0,280.0,168.2,2472.7599999999993,16820.0,180.0,,525,1000,960.73,10081.2371,96073,1000,
295,295,9990.946075677872,0,25,28.972476720809937,0,150.29547,2.1343446,0.0,0.0,0.05,-5.9914646,1.0,40.0,260.0,178.2,2072.7599999999998,17820.0,200.0,,623,1000,975.44,4929.8664,97544,1000,
296,296,10024.512377500534,0,68,28.493988275527954,0,150.29175,2.1327503,0.0,0.0,0.05,-5.9914646,1.0,20.0,260.0,165.8,2618.3599999999997,16580.0,140.0,,648,1000,978.22,4733.351599999999,97822,773,
297,297,10057.781251192093,0,24,28.710500955581665,0,150.2887,2.133201,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,170.8,2483.36,17080.0,200.0,,555,1000,986.9,2865.2499999999995,98690,1000,
298,298,10091.009855508804,0,26,28.125291109085083,0,150.28517,2.133445,0.0,0.0,0.05,-5.9914646,1.0,60.0,260.0,176.8,1685.7599999999993,17680.0,200.0,,629,1000,981.07,3819.6251,98107,1000,
299,299,10124.86890053749,0,53,28.754578590393066,0,150.2824,2.1304166,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,170.4,2963.839999999999,17040.0,160.0,,571,1000,975.7,5951.029999999999,97570,1000,
