,generations,unp_rank,n_rejected,workertimes,walltimes,grad_norm,param_norm,n_reused,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
32,32,14,0,26.96440625190735,1245.8066189289093,2.4987621,104.671776,0,136.9899139404297,136.9794158935547,0.048650034,-6.045747,1.0,1.0,0.0,220.0,137.0,2147.0,13700.0,160.0,,392,1000,939.67,11355.781099999998,93967,1000,
33,33,16,0,28.511089324951172,1284.1245481967926,2.4958098,106.62919,0,130.19760131835938,130.19432067871094,0.048661195,-6.0661964,1.0,1.0,0.0,200.0,130.2,3259.9599999999987,13020.0,160.0,,618,1000,969.39,5710.097900000001,96939,1000,
34,34,3,0,28.9461932182312,1322.4626615047455,2.495263,108.52313,0,147.79701232910156,147.79306030273438,0.048666626,-6.0661964,1.0,1.0,0.0,220.0,147.8,1007.1599999999997,14780.0,180.0,,606,1000,971.93,5133.6851,97193,1000,
35,35,11,0,28.613105535507202,1360.5703551769257,2.4963017,110.35611,0,142.40145874023438,142.39907836914062,0.04869153,-6.0661964,1.0,1.0,0.0,240.0,142.4,2154.24,14240.0,160.0,,688,1000,970.46,4632.3484,97046,1000,
36,36,22,0,27.78125810623169,1397.8649678230286,2.4941077,112.13194,0,147.99851989746094,147.99978637695312,0.048685264,-6.0661964,1.0,1.0,0.0,240.0,148.0,1720.0,14800.0,160.0,,473,1000,954.4,9726.099999999999,95440,1000,
37,37,12,0,28.848713636398315,1436.1630346775055,2.4962897,113.85161,0,141.79779052734375,141.79425048828125,0.04867037,-6.0661964,1.0,1.0,0.0,220.0,141.8,1672.7599999999993,14180.0,160.0,,664,1000,964.17,6863.2611,96417,1000,
38,38,13,0,28.172783613204956,1473.8114502429962,2.496404,115.517,0,140.80169677734375,140.80581665039062,0.04863933,-6.0661964,1.0,1.0,0.0,260.0,140.8,2431.36,14080.0,160.0,,479,1000,960.93,8780.825100000002,96093,1000,
39,39,11,0,27.80285406112671,1510.9611539840698,2.4955225,117.129105,0,134.39999389648438,134.39869689941406,0.048608646,-6.0661964,1.0,1.0,0.0,220.0,134.4,2232.64,13440.0,160.0,,652,1000,949.43,8585.325100000002,94943,1000,
40,40,4,0,27.59476947784424,1547.9111301898956,2.497062,118.69352,0,140.7994842529297,140.80038452148438,0.04855564,-6.0661964,1.0,1.0,0.0,220.0,140.8,1975.3600000000006,14080.0,180.0,,426,1000,949.36,11592.550399999998,94936,1000,
41,41,10,0,27.992734909057617,1585.2562007904053,2.4978306,120.20757,0,142.0034942626953,142.00677490234375,0.048480093,-6.0661964,1.0,1.0,0.0,200.0,142.0,2276.0,14200.0,180.0,,574,1000,952.83,8788.981099999999,95283,1000,
42,42,11,0,28.32952356338501,1622.930472612381,2.496947,121.67666,0,138.39474487304688,138.38876342773438,0.048429664,-6.0661964,1.0,1.0,0.0,220.0,138.4,2093.44,13840.0,160.0,,645,1000,965.48,6102.9696,96548,1000,
43,43,15,0,27.834534168243408,1660.1105659008026,2.49608,123.1063,0,135.0154266357422,135.03543090820312,0.04838357,-6.0661964,1.0,1.0,0.0,220.0,135.0,2563.0,13500.0,160.0,,501,1000,961.09,7600.341899999997,96109,1000,
44,44,13,0,28.86126685142517,1698.3246610164642,2.497011,124.49408,0,128.794189453125,128.79383850097656,0.048358902,-6.0661964,1.0,1.0,0.0,240.0,128.8,3170.5600000000004,12880.0,160.0,,637,1000,965.95,5549.5475,96595,1000,
45,45,9,0,27.712727308273315,1735.3893251419067,2.4940488,125.84063,0,134.7967987060547,134.79331970214844,0.048343662,-6.0661964,1.0,1.0,0.0,300.0,134.8,2940.9599999999996,13480.0,160.0,,460,1000,951.53,9327.469099999997,95153,1000,
46,46,21,0,28.983497381210327,1773.7051446437836,2.4984946,127.14789,0,137.58912658691406,137.57554626464844,0.048305564,-6.0661964,1.0,1.0,0.0,220.0,137.6,2434.2400000000007,13760.0,160.0,,493,1000,966.2,6356.719999999998,96620,1000,
47,47,16,0,28.217661380767822,1811.2668116092682,2.4962103,128.41441,0,141.59451293945312,141.59017944335938,0.04824663,-6.0661964,1.0,1.0,0.0,240.0,141.6,1861.44,14160.0,160.0,,561,1000,961.8,6602.56,96180,1000,
48,48,10,0,28.94225311279297,1849.5574703216553,2.4982693,129.64606,0,141.6043701171875,141.6095428466797,0.04821279,-6.0661964,1.0,1.0,0.0,240.0,141.6,1973.44,14160.0,160.0,,516,1000,960.29,9303.9859,96029,1000,
49,49,14,0,27.958067655563354,1887.2205493450165,2.4999387,130.84297,0,140.79837036132812,140.7929229736328,0.04816618,-6.094303,1.0,1.0,0.0,200.0,140.8,2023.3600000000006,14080.0,160.0,,703,1000,971.55,5122.1275000000005,97155,1000,
50,50,8,0,28.914214372634888,1925.4792430400848,2.4980795,132.00682,0,145.2017822265625,145.20384216308594,0.048127756,-6.094303,1.0,1.0,0.0,220.0,145.2,1316.9600000000005,14520.0,160.0,,658,1000,968.58,5393.6636,96858,1000,
51,51,19,0,29.53198552131653,1964.3291521072388,2.49688,133.13605,0,148.99832153320312,148.996337890625,0.04808441,-6.094303,1.0,1.0,0.0,240.0,149.0,1731.0,14900.0,160.0,,580,1000,983.85,3117.6875000000005,98385,1000,
52,52,21,0,30.34722638130188,2004.126785516739,2.4986336,134.23315,0,155.79885864257812,155.79855346679688,0.0480544,-6.094303,1.0,1.0,0.0,220.0,155.8,954.36,15580.0,160.0,,713,1000,988.53,1571.0291000000007,98853,1000,
53,53,10,0,28.99804162979126,2042.4912023544312,2.4967732,135.29837,0,142.6036834716797,142.59906005859375,0.048008043,-6.094303,1.0,1.0,0.0,200.0,142.6,1813.240000000001,14260.0,160.0,,434,1000,973.61,5977.777899999999,97361,1000,
54,54,10,0,29.291117668151855,2081.0651273727417,2.4959118,136.33224,0,152.00228881835938,152.00357055664062,0.047936846,-6.094303,1.0,1.0,0.0,240.0,152.0,816.0,15200.0,160.0,,599,1000,982.3,4000.5099999999993,98230,1000,
55,55,15,0,28.43402409553528,2118.810889005661,2.4993057,137.33603,0,141.8033447265625,141.80674743652344,0.047885578,-6.094303,1.0,1.0,0.0,240.0,141.8,2296.7599999999993,14180.0,160.0,,528,1000,971.09,7115.941900000001,97109,1000,
56,56,20,0,28.390225172042847,2156.539279937744,2.497773,138.30916,0,152.40196228027344,152.40579223632812,0.04782944,-6.094303,1.0,1.0,0.0,200.0,152.4,1254.24,15240.0,160.0,,668,1000,976.74,3653.3323999999993,97674,1000,
57,57,27,0,28.118791103363037,2193.979674577713,2.4982393,139.25417,0,145.20285034179688,145.206298828125,0.047773037,-6.094303,1.0,1.0,0.0,220.0,145.2,1956.9600000000005,14520.0,160.0,,540,1000,956.62,9218.875600000001,95662,1000,
58,58,24,0,29.472663164138794,2232.778797388077,2.496444,140.17595,0,147.80760192871094,147.82005310058594,0.047727957,-6.094303,1.0,1.0,0.0,220.0,147.8,2215.16,14780.0,160.0,,627,1000,980.53,3107.2691000000004,98053,1000,
59,59,21,0,28.31472659111023,2270.422784805298,2.495312,141.07199,0,142.20286560058594,142.20603942871094,0.047700778,-6.094303,1.0,1.0,0.0,200.0,142.2,2175.16,14220.0,160.0,,565,1000,964.54,6421.988399999999,96454,1000,
60,60,10,0,28.974353075027466,2308.7260875701904,2.4997582,141.94357,0,148.40032958984375,148.39801025390625,0.04768621,-6.094303,1.0,1.0,0.0,240.0,148.4,1961.4400000000003,14840.0,180.0,,553,1000,972.35,6510.147499999997,97235,1000,
61,61,20,0,28.42201805114746,2346.4775454998016,2.4991107,142.79028,0,145.5934600830078,145.58331298828125,0.047649752,-6.094303,1.0,1.0,0.0,240.0,145.6,2712.6399999999994,14560.0,160.0,,655,1000,977.36,3912.0903999999996,97736,1000,
62,62,17,0,28.401749849319458,2384.2275807857513,2.4967227,143.61508,0,137.00291442871094,137.0048065185547,0.04762353,-6.094303,1.0,1.0,0.0,240.0,137.0,2795.0,13700.0,160.0,,408,1000,959.14,10746.020400000001,95914,1000,
63,63,17,0,28.577821731567383,2422.165032148361,2.4974046,144.41983,0,140.19577026367188,140.1916046142578,0.047589373,-6.094303,1.0,1.0,0.0,240.0,140.2,2435.9600000000005,14020.0,160.0,,485,1000,961.2,8698.460000000001,96120,1000,
64,64,20,0,29.33154559135437,2461.009710073471,2.4990647,145.20348,0,147.40081787109375,147.39993286132812,0.04753458,-6.094303,1.0,1.0,0.0,240.0,147.4,1917.24,14740.0,160.0,,612,1000,981.33,3077.7810999999997,98133,1000,
65,65,22,0,28.2999165058136,2498.954313993454,2.4978583,145.9668,0,138.1994171142578,138.19883728027344,0.047494017,-6.111078,1.0,1.0,0.0,240.0,138.2,3040.76,13820.0,160.0,,559,1000,966.96,6392.318400000001,96696,1000,
66,66,26,0,28.58194661140442,2536.983721971512,2.4954104,146.70944,0,145.19017028808594,145.1783447265625,0.04743818,-6.111078,1.0,1.0,0.0,240.0,145.2,2820.9599999999987,14520.0,160.0,,622,1000,962.29,7204.065900000002,96229,1000,
67,67,26,0,28.76759433746338,2575.101706981659,2.4984841,147.42885,0,147.59613037109375,147.59091186523438,0.047348935,-6.111078,1.0,1.0,0.0,300.0,147.6,2806.24,14760.0,160.0,,517,1000,979.21,4715.605899999999,97921,1000,
68,68,18,0,28.98388385772705,2613.4392626285553,2.4990897,148.1316,0,143.0062255859375,143.01551818847656,0.047285207,-6.111078,1.0,1.0,0.0,240.0,143.0,1803.0,14300.0,160.0,,457,1000,965.5,6110.53,96550,1000,
69,69,10,0,29.591241598129272,2652.380313396454,2.4999776,148.814,0,145.80369567871094,145.8069305419922,0.047244087,-6.111078,1.0,1.0,0.0,240.0,145.8,2490.3600000000006,14580.0,180.0,,645,1000,978.62,3521.615599999999,97862,926,
70,70,7,0,28.256226301193237,2689.8284544944763,2.4986887,149.47751,0,138.1977081298828,138.19224548339844,0.047233727,-6.111078,1.0,1.0,0.0,260.0,138.2,3024.759999999999,13820.0,200.0,,463,1000,964.8,8433.96,96480,1000,
71,71,3,0,28.770297288894653,2727.9749948978424,2.4987454,150.12532,0,135.59274291992188,135.58676147460938,0.047227655,-6.111078,1.0,1.0,0.0,240.0,135.6,3196.639999999999,13560.0,220.0,,605,1000,967.67,5064.4011,96767,1000,
