,n_reused,unp_rank,n_rejected,grad_norm,param_norm,workertimes,generations,walltimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
240,0,33,0,42.56634,305.45187,27.387873888015747,240,8028.562310695648,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,157.0,6459.0,15700.0,200.0,,434,1000,926.61,20600.757900000004,92661,1000,
241,0,27,0,42.47318,306.041,28.036519289016724,241,8061.9761531353,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,175.4,5534.840000000002,17540.0,220.0,,547,1000,950.67,11605.801099999999,95067,1000,
242,0,25,0,42.573566,306.6298,28.32746696472168,242,8095.46581029892,0.0,0.0,0.05,-5.9914646,0.05,0.0,320.0,180.0,4496.0,18000.0,220.0,,530,1000,949.05,11090.947500000002,94905,1000,
243,0,8,0,42.556496,307.21597,27.653878211975098,243,8128.135801792145,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,181.8,3848.7599999999993,18180.0,240.0,,614,1000,958.45,8528.107499999998,95845,1000,
244,0,6,0,42.544067,307.7994,28.223653316497803,244,8161.364782810211,0.0,0.0,0.05,-5.9914646,0.05,0.0,300.0,185.6,3872.64,18560.0,240.0,,601,1000,966.64,6345.210399999999,96664,1000,
245,0,28,0,42.571053,308.38275,28.53510069847107,245,8194.919795036316,0.0,0.0,0.05,-5.9914646,0.05,0.0,300.0,193.2,3737.7599999999993,19320.0,220.0,,520,1000,969.05,6416.087499999998,96905,1000,
246,0,34,0,42.605972,308.96338,26.433939218521118,246,8226.372138023376,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,168.8,5346.560000000001,16880.0,200.0,,600,1000,946.51,11284.049899999998,94651,1000,
247,0,18,0,42.541145,309.54144,27.970765590667725,247,8259.355620622635,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,176.8,3349.7599999999993,17680.0,220.0,,523,1000,938.7,13504.27,93870,1000,
248,0,9,0,42.556313,310.11642,28.038647413253784,248,8292.502206802368,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,176.6,4800.44,17660.0,240.0,,596,1000,945.41,11688.461900000002,94541,1000,
249,0,4,0,42.553135,310.6897,26.942922830581665,249,8324.565830230713,0.0,0.0,0.05,-5.9914646,0.05,0.0,320.0,189.4,4283.64,18940.0,260.0,,560,1000,952.87,10786.093099999996,95287,1000,
250,0,9,0,42.518764,311.25977,28.355427265167236,250,8357.984948396683,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,175.4,5454.84,17540.0,240.0,,509,1000,959.67,9905.2211,95967,1000,
251,0,29,0,42.58402,311.83365,28.151275157928467,251,8391.29776763916,0.0,0.0,0.05,-5.9914646,0.05,20.0,280.0,184.4,4324.64,18440.0,220.0,,529,1000,943.92,13531.453599999999,94392,1000,
252,0,1,0,42.544033,312.40588,27.319029092788696,252,8423.637318372726,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,170.8,4979.36,17080.0,280.0,,505,1000,930.48,15031.409599999999,93048,1000,
253,0,2,0,42.555626,312.9774,27.517571687698364,253,8456.168366909027,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,182.4,3434.240000000001,18240.0,260.0,,607,1000,942.12,12612.1456,94212,1000,
254,0,2,0,42.509975,313.54614,28.878090381622314,254,8490.22353720665,0.0,0.0,0.05,-5.9914646,0.05,0.0,300.0,166.0,6580.0,16600.0,280.0,,613,1000,960.05,9178.087500000001,96005,1000,
255,0,11,0,42.606255,314.11127,28.310506105422974,255,8523.664773702621,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,170.4,6035.840000000002,17040.0,240.0,,487,1000,956.95,11665.247499999996,95695,1000,
256,0,14,0,42.552155,314.67502,27.834273099899292,256,8556.636089801788,0.0,0.0,0.05,-5.9914646,0.05,0.0,300.0,167.2,6828.159999999998,16720.0,240.0,,621,1000,957.54,8641.4884,95754,1000,
257,0,27,0,42.52711,315.2409,28.838083744049072,257,8590.681601524353,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,175.2,5448.960000000003,17520.0,220.0,,574,1000,965.61,8442.757899999999,96561,1000,
258,0,21,0,42.534874,315.80566,28.204041004180908,258,8623.97880077362,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,170.2,5611.960000000001,17020.0,220.0,,623,1000,956.01,9491.309900000002,95601,1000,
259,0,26,0,42.534454,316.36832,28.676211833953857,259,8657.809210062027,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,183.2,3741.759999999999,18320.0,220.0,,596,1000,970.19,5368.393900000001,97019,1000,
260,0,12,0,42.57311,316.93088,28.94303607940674,260,8692.181906223297,0.0,0.0,0.05,-5.9914646,0.05,20.0,280.0,189.8,3667.96,18980.0,240.0,,647,1000,973.49,5179.849899999999,97349,1000,
261,0,5,0,42.55013,317.48816,29.454641342163086,261,8726.705187559128,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,192.8,3340.160000000001,19280.0,260.0,,659,1000,984.17,3854.301099999999,98417,1000,
262,0,2,0,42.56371,318.04584,29.32278871536255,262,8761.094255447388,0.0,0.0,0.05,-5.9914646,0.05,40.0,280.0,194.4,2248.64,19440.0,260.0,,756,1000,991.14,1298.5403999999999,99114,1000,
263,0,2,0,42.499348,318.60074,29.67048668861389,263,8795.93201136589,0.0,0.0,0.05,-5.9914646,0.05,40.0,280.0,192.2,2599.16,19220.0,260.0,,766,1000,986.91,2293.9419,98691,1000,
264,0,2,0,42.488476,319.15167,29.009586334228516,264,8829.96220612526,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,193.8,3341.5600000000004,19380.0,260.0,,707,1000,988.82,2534.0076,98882,1000,
265,0,1,0,42.552246,319.70486,29.94752073287964,265,8864.929611206055,0.0,0.0,0.05,-5.9914646,0.05,40.0,260.0,196.0,1832.0,19600.0,260.0,,776,1000,991.71,1033.5458999999998,99171,1000,
266,0,14,0,42.5587,320.2594,29.741522550582886,266,8899.687808275223,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,180.4,4343.839999999999,18040.0,240.0,,639,1000,988.12,2765.7456,98812,1000,
267,0,16,0,42.57232,320.81305,29.122209548950195,267,8933.828430652618,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,194.0,2780.0,19400.0,240.0,,653,1000,987.06,2678.9963999999995,98706,1000,
268,0,50,0,42.57176,321.36404,29.32772183418274,268,8968.173478603363,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,188.8,4658.560000000001,18880.0,200.0,,775,1000,986.27,2292.2571000000003,98627,1000,
269,0,30,0,42.509205,321.91388,29.15030002593994,269,9002.343253135681,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,194.0,2956.0,19400.0,220.0,,756,1000,992.75,1248.7875,99275,1000,
270,0,44,0,42.54554,322.45978,29.277326583862305,270,9036.631774902344,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,182.2,4367.160000000001,18220.0,200.0,,780,1000,992.94,1165.0964,99294,926,
271,0,54,0,42.57468,323.00223,29.213099241256714,271,9070.796783208847,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,177.2,4768.160000000001,17720.0,180.0,,626,1000,989.02,1990.219599999999,98902,1000,
272,0,25,0,42.54823,323.54245,29.43633770942688,272,9105.437050104141,0.0,0.0,0.05,-5.9914646,0.05,0.0,300.0,183.6,4651.04,18360.0,220.0,,684,1000,991.27,1779.2171000000003,99127,1000,
273,0,37,0,42.558765,324.0808,29.272523641586304,273,9139.957430124283,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,184.6,3134.839999999999,18460.0,200.0,,648,1000,992.23,2114.5970999999995,99223,1000,
274,0,32,0,42.533424,324.61826,29.558533191680908,274,9174.637945652008,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,181.2,2966.56,18120.0,200.0,,657,1000,991.94,2079.0164000000004,99194,1000,
