,accuracy_avg,accuracy_max,accuracy_min,accuracy_sum,accuracy_unp,accuracy_val,accuracy_var,beta_avg,beta_max,beta_med,beta_min,beta_std,generations,lr_0,lr_1,n_rejected,n_reused,observations_avg,observations_max,observations_min,observations_sum,observations_unp,observations_val,observations_var,return_avg,return_max,return_min,return_sum,return_unp,return_val,return_var,sigma_avg,sigma_max,sigma_med,sigma_min,sigma_std,unp_rank,walltimes,workertimes
647,0.95549,0.976,0.942,95.54899999999999,0.964,,4.082990000000007e-05,-5.960562149397163,-2.2933401365072363,-5.995058626548353,-7.924314132766847,0.347394537865594,647,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15460830926895142,-0.10915718227624893,-0.18686196208000183,-15.460831642150879,-0.12352805584669113,,0.00025863852351903915,0.050778559290634635,0.31769290566444397,0.049910228699445724,0.019022038206458092,0.009596450195641926,6,4933.199467182159,4.581756591796875
648,0.9552099999999997,0.972,0.94,95.52099999999997,0.968,,3.800590000000007e-05,-5.960515123788455,-2.2215507226562368,-5.99507863011914,-7.90496147171724,0.3475028392424693,648,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15629243850708008,-0.106717050075531,-0.18814997375011444,-15.629243850708008,-0.12054747343063354,,0.0001959297660505399,0.05077975325100124,0.3293035328388214,0.04990972951054573,0.019206995144486427,0.009605633695593469,2,4940.612736940384,4.7133190631866455
649,0.9554999999999997,0.971,0.937,95.54999999999997,0.957,,4.807000000000004e-05,-5.960518182371163,-2.220411819511843,-5.995277333167637,-7.909070939594493,0.3477542821749428,649,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1547325849533081,-0.11979442089796066,-0.2011166512966156,-15.473258018493652,-0.13660350441932678,,0.0003116197185590863,0.05077967559402301,0.32949110865592957,0.04990477114915848,0.019167570397257805,0.00958016866236262,18,4947.901757717133,4.575673818588257
650,0.9563300000000001,0.969,0.942,95.63300000000001,0.958,0.9651,3.176110000000006e-05,-5.960471425227193,-2.299604718825652,-5.995612082717302,-7.9092373133740805,0.34797242748426305,650,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,10000.0,0.0,-0.15433214604854584,-0.11451197415590286,-0.19899682700634003,-15.43321418762207,-0.13647103309631348,-0.12099498510360718,0.0002553444355726242,0.05078086276420138,0.316699355840683,0.049896419048309326,0.019165975973010063,0.009583107065640629,13,4956.939437150955,6.309689044952393
651,0.9550899999999998,0.97,0.933,95.50899999999997,0.952,,3.7201900000000014e-05,-5.960460486009096,-2.3891186884167435,-5.995317942080369,-7.8635917287452655,0.3481191210110143,651,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15782500803470612,-0.12917889654636383,-0.21899963915348053,-15.782500267028809,-0.15936239063739777,,0.0002641126629896462,0.05078114051642743,0.3028373718261719,0.049903757870197296,0.019608426839113235,0.009558568684113696,54,4964.064755678177,4.452983140945435
652,0.9562499999999998,0.976,0.938,95.62499999999999,0.967,,5.37075000000001e-05,-5.960455783343066,-2.377521458646174,-5.994918905692951,-7.7509909300479425,0.3484859797381822,652,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15571048855781555,-0.10643438994884491,-0.19650600850582123,-15.571048736572266,-0.11265014857053757,,0.00032484528492204845,0.05078125991994007,0.30459851026535034,0.049913715571165085,0.02074405737221241,0.009542000078055068,4,4971.310651302338,4.544766902923584
653,0.9555999999999998,0.969,0.941,95.55999999999997,0.965,,3.840000000000007e-05,-5.960381454895728,-2.349341458573016,-5.995223587345065,-7.66328106212419,0.34865747120266205,653,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15758341550827026,-0.1277155876159668,-0.1996374875307083,-15.758340835571289,-0.1342100203037262,,0.0002053523639915511,0.05078314720111137,0.308920681476593,0.049906112253665924,0.021674029529094696,0.009561686063335274,5,4978.644988298416,4.629176616668701
654,0.95634,0.972,0.944,95.634,0.965,,3.908440000000007e-05,-5.96036807546971,-2.330886223579487,-5.9944792069549635,-7.615376028330423,0.3491647943843082,654,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15544702112674713,-0.1270328015089035,-0.1923397034406662,-15.54470157623291,-0.13417047262191772,,0.000237034895690158,0.05078348692692816,0.3117844760417938,0.049924690276384354,0.022199444472789764,0.009547671438643044,11,4986.089083909988,4.722119092941284
655,0.9562899999999998,0.974,0.938,95.62899999999998,0.976,,4.80659000000001e-05,-5.9602512176362925,-2.3401846462283267,-5.995205373810633,-7.634909216391749,0.3495506588720388,655,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15388336777687073,-0.11275458335876465,-0.19903744757175446,-15.388337135314941,-0.11390593647956848,,0.0002860429813154042,0.050786454237743535,0.3103382885456085,0.049906566739082336,0.021983686834573746,0.009586937126748643,2,4993.564834117889,4.758296728134155
656,0.9554699999999998,0.973,0.938,95.54699999999998,0.963,,4.256910000000008e-05,-5.960160577900839,-2.3619250769629696,-5.994789194960899,-7.633000346889472,0.3496883553462032,656,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1569196581840515,-0.11922676861286163,-0.2036479413509369,-15.691965103149414,-0.1238735094666481,,0.00029746905784122646,0.05078875592528758,0.3069831132888794,0.04991695284843445,0.02200467884540558,0.009616828900279768,3,5000.961904525757,4.671515941619873
657,0.9568099999999998,0.97,0.944,95.68099999999998,0.958,,3.477390000000006e-05,-5.960144454803341,-2.4064746302586593,-5.994226565702631,-7.674772780849113,0.3500786167302135,657,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1527540236711502,-0.12268318980932236,-0.20489804446697235,-15.275402069091797,-0.13631469011306763,,0.00024319591466337442,0.05078916536296972,0.3002207279205322,0.04993099719285965,0.021549850702285767,0.00960912245511956,14,5008.3182854652405,4.634871482849121
