,n_reused,unp_rank,workertimes,n_rejected,param_norm,generations,walltimes,grad_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
25,0,15,5.747916221618652,0,14.028265,25,101.81905317306519,0.287417,-2.589927911758423,-2.589707374572754,0.05,-5.9914646,0.05,-2.878976583480835,-2.3775267601013184,-2.590176582336426,0.00821719691157341,-259.0176696777344,-2.494032,-2.5003166,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
26,0,37,3.3246233463287354,0,14.0221815,26,105.72804021835327,0.28401458,-2.5685133934020996,-2.5684874057769775,0.05,-5.9914646,0.05,-2.803290367126465,-2.3352160453796387,-2.568434953689575,0.009072533808648586,-256.843505859375,-2.5207055,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
27,0,20,3.0778489112854004,0,14.016063,27,109.39205312728882,0.2826778,-2.5818586349487305,-2.5816612243652344,0.05,-5.9914646,0.05,-2.852741241455078,-2.3250577449798584,-2.581857681274414,0.012028956785798073,-258.1857604980469,-2.4646661,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
28,0,11,3.094749927520752,0,14.009789,28,113.07897186279297,0.28407958,-2.5780444145202637,-2.5780410766601562,0.05,-5.9914646,0.05,-2.8063535690307617,-2.3708221912384033,-2.578007698059082,0.008700701408088207,-257.80078125,-2.4492326,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
29,0,13,3.060244560241699,0,14.003601,29,116.73072910308838,0.28063825,-2.5744638442993164,-2.574385404586792,0.05,-5.9914646,0.05,-2.7963781356811523,-2.311788558959961,-2.574611186981201,0.008323518559336662,-257.46112060546875,-2.47944,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
30,0,8,3.2938308715820312,0,13.99733,30,120.62187385559082,0.28523913,-2.568091630935669,-2.5680959224700928,0.05,-5.9914646,0.05,-2.796417713165283,-2.388561964035034,-2.5681710243225098,0.008944914676249027,-256.8171081542969,-2.42048,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
31,0,27,3.124317169189453,0,13.990906,31,124.28817296028137,0.28303233,-2.5639140605926514,-2.5640134811401367,0.05,-5.9914646,0.05,-2.841953754425049,-2.367642641067505,-2.563833713531494,0.009540775790810585,-256.38336181640625,-2.4997606,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
32,0,13,3.0973093509674072,0,13.984346,32,127.97942852973938,0.28598922,-2.541109323501587,-2.54128098487854,0.05,-5.9914646,0.05,-2.860581874847412,-2.3523123264312744,-2.540942907333374,0.010833913460373878,-254.0942840576172,-2.4176638,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
33,0,13,3.0692319869995117,0,13.977761,33,131.58566427230835,0.28409913,-2.5500242710113525,-2.5498507022857666,0.05,-5.9914646,0.05,-2.9084842205047607,-2.2710015773773193,-2.550131320953369,0.010481094941496849,-255.01312255859375,-2.4139943,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
34,0,14,3.116299867630005,0,13.971281,34,135.2877175807953,0.27174956,-2.530571937561035,-2.5304977893829346,0.05,-5.9914646,0.05,-2.811885356903076,-2.3171026706695557,-2.530592441558838,0.010416336357593536,-253.05923461914062,-2.3975334,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
35,0,10,3.363692045211792,0,13.96497,35,139.23884868621826,0.28170997,-2.5196309089660645,-2.5196733474731445,0.05,-5.9914646,0.05,-2.7376456260681152,-2.270026683807373,-2.519606828689575,0.008200621232390404,-251.960693359375,-2.3975499,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
36,0,4,3.124762535095215,0,13.958699,36,142.94876646995544,0.28360897,-2.500262975692749,-2.50030779838562,0.05,-5.9914646,0.05,-2.7267491817474365,-2.246110439300537,-2.5002405643463135,0.00800976064056158,-250.0240478515625,-2.3518977,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
37,0,7,3.0745718479156494,0,13.952326,37,146.60875034332275,0.26599056,-2.5280070304870605,-2.5278780460357666,0.05,-5.9914646,0.05,-2.7393383979797363,-2.3192763328552246,-2.5281729698181152,0.008565586991608143,-252.81729125976562,-2.3778756,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
38,0,8,3.1433303356170654,0,13.945935,38,150.3387370109558,0.28499925,-2.5278737545013428,-2.5278985500335693,0.05,-5.9914646,0.05,-2.764970064163208,-2.3078551292419434,-2.5278072357177734,0.010428574867546558,-252.78073120117188,-2.3637311,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
39,0,9,3.3851351737976074,0,13.939516,39,154.311372756958,0.28440323,-2.5061299800872803,-2.5061655044555664,0.05,-5.9914646,0.05,-2.8063857555389404,-2.319899320602417,-2.5061511993408203,0.010032202117145061,-250.61512756347656,-2.3740935,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
