,n_rejected,generations,param_norm,grad_norm,walltimes,unp_rank,n_reused,workertimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
35,0,35,103.6219,50.773937,1209.1768565177917,22,0,28.368053674697876,0.0,0.0,0.041911375,-6.3844986,0.05,0.05,0.0,240.0,151.8,1904.76,15180.0,160.0,,520,1000,971.71,6845.2258999999995,97171,1000,
36,0,36,105.84936,51.38715,1243.8104524612427,27,0,29.431524991989136,0.0,0.0,0.04140413,-6.3844986,0.05,0.05,0.0,260.0,153.2,1937.7599999999993,15320.0,160.0,,607,1000,980.18,3742.467600000001,98018,1000,
37,0,37,108.09258,51.841564,1278.2585144042969,11,0,28.941583156585693,0.0,0.0,0.04107937,-6.4714656,0.05,0.05,0.0,220.0,140.6,2283.6399999999994,14060.0,160.0,,498,1000,972.23,7440.5371000000005,97223,1000,
38,0,38,110.346695,52.042244,1312.9609808921814,15,0,29.486235857009888,0.0,0.0,0.04090042,-6.4714656,0.05,0.05,0.0,220.0,142.0,2100.0,14200.0,160.0,,476,1000,967.12,8578.885599999998,96712,1000,
39,0,39,112.61254,52.714764,1347.6101651191711,30,0,29.452516078948975,0.0,0.0,0.040356774,-6.4714656,0.05,0.05,0.0,240.0,149.2,3003.36,14920.0,160.0,,585,1000,979.58,4676.323599999999,97958,1000,
40,0,40,114.88849,52.98312,1381.9321718215942,23,0,29.118419885635376,0.0,0.0,0.040132444,-6.4714656,0.05,0.05,0.0,220.0,144.0,2464.0,14400.0,160.0,,484,1000,967.59,6645.6419000000005,96759,1000,
41,0,41,117.1755,53.54277,1416.6208152770996,26,0,29.475467920303345,0.0,0.0,0.039755054,-6.4714656,0.05,0.05,0.0,240.0,145.2,2500.9600000000005,14520.0,160.0,,633,1000,976.93,4678.205100000001,97693,1000,
42,0,42,119.47102,54.88084,1450.640112400055,24,0,28.81726884841919,0.0,0.0,0.038795635,-6.4714656,0.05,0.05,0.0,280.0,138.4,3021.44,13840.0,160.0,,667,1000,966.61,6189.677900000002,96661,933,
43,0,43,121.77799,56.310158,1484.9896903038025,2,0,29.203166007995605,0.0,0.0,0.0377857,-6.4714656,0.05,0.05,0.0,260.0,138.8,2766.56,13880.0,240.0,,654,1000,974.41,3584.341900000001,97441,1000,
44,0,44,124.094406,57.358242,1518.7116284370422,10,0,28.51902675628662,0.0,0.0,0.03711455,-6.4714656,0.05,0.05,0.0,240.0,144.8,2616.9600000000005,14480.0,200.0,,539,1000,978.42,5269.223600000001,97842,1000,
45,0,45,126.42388,57.455956,1553.0964329242706,1,0,29.155672311782837,0.0,0.0,0.037044674,-6.4714656,0.05,0.05,0.0,240.0,143.4,2648.44,14340.0,260.0,,522,1000,962.1,10054.830000000002,96210,1000,
46,0,46,128.76845,56.925694,1586.45232462883,1,0,28.13832187652588,0.0,0.0,0.037372872,-6.4714656,0.05,0.05,0.0,220.0,139.2,2839.3600000000006,13920.0,220.0,,643,1000,960.18,7817.967599999999,96018,1000,
47,0,47,131.12225,56.617184,1620.3212835788727,4,0,28.665827751159668,0.0,0.0,0.037587352,-6.4714656,0.05,0.05,0.0,260.0,138.2,3496.7599999999993,13820.0,220.0,,638,1000,958.52,8698.6096,95852,1000,
48,0,48,133.48912,56.42717,1653.3446962833405,1,0,27.819990873336792,0.0,0.0,0.037668012,-6.4714656,0.05,0.05,0.0,240.0,140.0,2760.0,14000.0,260.0,,448,1000,965.0,8178.54,96500,1000,
49,0,49,135.85822,56.502045,1686.1847813129425,2,0,27.642476558685303,0.0,0.0,0.037667464,-6.4714656,0.05,0.05,0.0,240.0,139.0,3227.0,13900.0,220.0,,602,1000,951.46,10978.168399999999,95146,1000,
50,0,50,138.23093,56.736057,1720.1206710338593,4,0,28.624035835266113,0.0,0.0,0.037510034,-6.4714656,0.05,0.05,0.0,260.0,152.6,2677.2400000000007,15260.0,220.0,,515,1000,955.88,10580.885600000001,95588,1000,
51,0,51,140.60587,56.43278,1752.8120203018188,3,0,27.374546766281128,0.0,0.0,0.037705075,-6.4714656,0.05,0.05,0.0,280.0,133.8,4797.56,13380.0,240.0,,444,1000,948.1,13032.35,94810,1000,
52,0,52,142.97675,56.212505,1785.2986176013947,1,0,27.211620330810547,0.0,0.0,0.03785162,-6.4714656,0.05,0.05,0.0,240.0,151.6,4081.4399999999996,15160.0,240.0,,451,1000,953.36,11611.1704,95336,1000,
53,0,53,145.3388,55.60833,1817.538165807724,1,0,27.03574228286743,0.0,0.0,0.038296826,-6.4714656,0.05,0.05,0.0,280.0,121.8,5432.76,12180.0,300.0,,458,1000,909.98,22961.399599999993,90998,1000,
54,0,54,147.68428,54.70688,1849.8526196479797,2,0,27.094577312469482,0.0,0.0,0.038899016,-6.4714656,0.05,0.05,0.0,280.0,133.6,5087.040000000001,13360.0,240.0,,435,1000,950.88,11137.365599999997,95088,1000,
55,0,55,150.01482,54.06316,1883.5765171051025,1,0,28.16972780227661,0.0,0.0,0.039331373,-5.706612,0.05,0.05,0.0,280.0,134.2,5242.36,13420.0,300.0,,498,1000,942.09,13830.4219,94209,1000,
56,0,56,152.32181,53.228348,1916.574407339096,1,0,27.625834703445435,0.0,0.0,0.039989002,-5.706612,0.05,0.05,0.0,240.0,144.0,4320.0,14400.0,240.0,,430,1000,956.98,12462.279599999998,95698,1000,
57,0,57,154.603,52.672268,1950.2478001117706,3,0,28.398163080215454,0.0,0.0,0.040421456,-5.706612,0.05,0.05,0.0,280.0,143.4,5872.440000000002,14340.0,240.0,,483,1000,956.47,10511.2891,95647,1000,
58,0,58,156.85068,51.72467,1982.8311150074005,2,0,27.373908042907715,0.0,0.0,0.0411471,-5.706612,0.05,0.05,0.0,260.0,135.0,5315.0,13500.0,240.0,,545,1000,948.95,11404.2875,94895,1000,
59,0,59,159.06161,50.630783,2016.6115248203278,20,0,28.58355689048767,0.0,0.0,0.041998647,-5.706612,0.05,0.05,0.0,260.0,134.6,4878.84,13460.0,180.0,,576,1000,958.4,10482.34,95840,843,
60,0,60,161.23473,50.01006,2050.024766921997,2,0,28.454874992370605,0.0,0.0,0.042551573,-5.706612,0.05,0.05,0.0,260.0,140.0,4264.0,14000.0,220.0,,448,1000,944.95,13181.427499999998,94495,1000,
61,0,61,163.36632,49.392433,2083.0157191753387,66,0,27.7902352809906,0.0,0.0,0.043077677,-5.706612,0.05,0.05,0.0,240.0,130.2,5451.960000000003,13020.0,140.0,,599,1000,958.05,9564.0675,95805,730,
62,0,62,165.45322,48.89787,2115.8787298202515,34,0,28.07380509376526,0.0,0.0,0.04352588,-5.706612,0.05,0.05,0.0,240.0,131.2,5298.560000000001,13120.0,160.0,,492,1000,955.51,10032.229900000002,95551,891,
63,0,63,167.49652,47.785515,2149.8219089508057,34,0,28.91636085510254,0.0,0.0,0.04452975,-5.706612,0.05,0.05,0.0,240.0,134.6,5606.840000000002,13460.0,160.0,,697,1000,975.99,4348.0899,97599,1000,
64,0,64,169.49281,46.94636,2183.6351475715637,26,0,28.510698556900024,0.0,0.0,0.045315802,-5.706612,0.05,0.05,0.0,280.0,140.4,4359.839999999999,14040.0,160.0,,551,1000,976.75,5237.8675,97675,1000,
65,0,65,171.44272,46.323322,2216.938093662262,13,0,28.078728675842285,0.0,0.0,0.045928534,-5.706612,0.05,0.05,0.0,240.0,147.4,3413.2400000000007,14740.0,180.0,,477,1000,956.67,12114.101099999998,95667,1000,
66,0,66,173.34311,45.542534,2250.0426700115204,21,0,27.878721952438354,0.0,0.0,0.04674915,-5.706612,0.05,0.05,0.0,220.0,148.2,2088.7599999999998,14820.0,160.0,,540,1000,952.61,13223.177900000002,95261,1000,
67,0,67,175.19234,44.549374,2284.6454706192017,31,0,29.190383911132812,0.0,0.0,0.047752038,-5.706612,0.05,0.05,0.0,260.0,155.4,2918.839999999999,15540.0,160.0,,540,1000,976.78,5824.151599999998,97678,1000,
68,0,68,176.99194,43.345913,2319.002634048462,30,0,29.191861629486084,0.0,0.0,0.04913744,-5.706612,0.05,0.05,0.0,260.0,149.0,3515.0,14900.0,160.0,,452,1000,974.0,9555.18,97400,1000,
69,0,69,178.7365,42.075027,2352.923336982727,28,0,28.653688192367554,0.0,0.0,0.050557394,-5.706612,0.05,0.05,0.0,240.0,153.6,1791.0399999999995,15360.0,160.0,,621,1000,972.74,4628.412399999999,97274,1000,
70,0,70,180.42586,40.7581,2386.5822026729584,17,0,28.341558933258057,0.0,0.0,0.052179225,-5.706612,0.05,0.05,0.0,260.0,141.4,3762.0400000000013,14140.0,180.0,,516,1000,960.9,9783.95,96090,1000,
71,0,71,182.06021,39.47046,2420.8459928035736,11,0,29.044007539749146,0.0,0.0,0.053907406,-5.706612,0.05,0.05,0.0,240.0,148.6,2514.0399999999995,14860.0,180.0,,582,1000,978.9,4625.15,97890,1000,
72,0,72,183.63496,37.755146,2455.7688562870026,36,0,29.692140102386475,0.0,0.0,0.05635981,-5.706612,0.05,0.05,0.0,240.0,151.8,3032.76,15180.0,160.0,,584,1000,972.62,6345.655600000002,97262,1000,
73,0,73,185.15182,36.941956,2489.8509197235107,32,0,28.525676012039185,0.0,0.0,0.0576534,-5.402342,0.05,0.05,0.0,260.0,143.2,3885.76,14320.0,160.0,,401,1000,956.85,12049.427500000002,95685,1000,
