,accuracy_avg,accuracy_max,accuracy_min,accuracy_sum,accuracy_unp,accuracy_val,accuracy_var,beta,generations,lr_0,lr_1,n_rejected,n_reused,observations_avg,observations_max,observations_min,observations_sum,observations_unp,observations_val,observations_var,return_avg,return_max,return_min,return_sum,return_unp,return_val,return_var,sigma,unp_rank,walltimes,workertimes
1259,0.9610499999999998,0.973,0.948,96.10499999999999,0.97,,3.0087500000000054e-05,-6.381979942321777,1259,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.143287792801857,-0.11083055287599564,-0.17775455117225647,-14.328779220581055,-0.11481049656867981,,0.00015790536417625844,0.0414448119699955,2,9476.173067569733,4.964414834976196
1260,0.96202,0.974,0.945,96.202,0.974,,2.8799600000000052e-05,-6.3768086433410645,1260,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1395566612482071,-0.11023461073637009,-0.17508193850517273,-13.955666542053223,-0.09275522828102112,,0.00017687871877569705,0.04113113135099411,1,9483.687365055084,4.946576356887817
1261,0.96202,0.975,0.944,96.202,0.959,,3.705960000000006e-05,-6.408026218414307,1261,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.13901181519031525,-0.11626748740673065,-0.1822657287120819,-13.9011812210083,-0.13014058768749237,,0.0002050082548521459,0.041237618774175644,33,9491.269493103027,4.97193717956543
1262,0.9629800000000001,0.975,0.948,96.298,0.976,,3.051960000000006e-05,-6.395964622497559,1262,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.13716858625411987,-0.1038413941860199,-0.18229970335960388,-13.716858863830566,-0.10715960711240768,,0.00021613799617625773,0.040598947554826736,3,9498.85878276825,4.986685514450073
1263,0.9618999999999999,0.974,0.948,96.18999999999998,0.969,,3.0150000000000055e-05,-6.408894062042236,1263,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.139516681432724,-0.106953926384449,-0.17184853553771973,-13.951667785644531,-0.11551348119974136,,0.00019423855701461434,0.04084453359246254,5,9506.400975942612,4.947559356689453
1264,0.9613200000000001,0.973,0.949,96.132,0.968,,2.823760000000005e-05,-6.408407688140869,1264,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.14031711220741272,-0.10708945989608765,-0.1884402334690094,-14.03171157836914,-0.1269957721233368,,0.000167812206200324,0.04058133438229561,14,9514.008135795593,5.027190208435059
1265,0.9616100000000002,0.976,0.95,96.16100000000002,0.97,,2.555790000000004e-05,-6.423628330230713,1265,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.14026899635791779,-0.11435578018426895,-0.17019601166248322,-14.026899337768555,-0.12234238535165787,,0.00013459641195368022,0.04059120640158653,8,9521.51509475708,4.929950475692749
1266,0.9619299999999998,0.978,0.947,96.19299999999998,0.973,,3.6165100000000065e-05,-6.441719055175781,1266,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1392771452665329,-0.10422485321760178,-0.16932116448879242,-13.927714347839355,-0.10452400147914886,,0.00019581412198022008,0.04028346762061119,2,9529.08485007286,4.997785806655884
1267,0.9635699999999997,0.976,0.946,96.35699999999997,0.961,,3.992510000000006e-05,-6.485617160797119,1267,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.13717976212501526,-0.09786495566368103,-0.17799144983291626,-13.717976570129395,-0.13665734231472015,,0.00019971893925685436,0.039920732378959656,46,9536.649411678314,4.97493577003479
1268,0.9618799999999997,0.98,0.947,96.18799999999997,0.98,,2.8245600000000054e-05,-6.465571880340576,1268,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.13719190657138824,-0.10629332810640335,-0.17506910860538483,-13.71919059753418,-0.09611206501722336,,0.00015215227904263884,0.03905405476689339,1,9544.246725559235,5.004235029220581
1269,0.96206,0.974,0.949,96.206,0.969,,3.277640000000006e-05,-6.4933061599731445,1269,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.13929691910743713,-0.11415939778089523,-0.17628006637096405,-13.929692268371582,-0.12033934146165848,,0.0001554160553496331,0.03944744914770126,7,9551.822165727615,4.974193334579468
1270,0.96305,0.976,0.949,96.30499999999999,0.979,,4.0907500000000075e-05,-6.521392822265625,1270,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.13753126561641693,-0.0983787477016449,-0.167827308177948,-13.753127098083496,-0.1032503992319107,,0.00019505088857840747,0.03890420123934746,4,9559.281183481216,4.853839874267578
1271,0.9630999999999997,0.978,0.945,96.30999999999997,0.976,,4.1970000000000074e-05,-6.490980625152588,1271,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.13531509041786194,-0.10623001307249069,-0.16863229870796204,-13.531509399414062,-0.09622594714164734,,0.00020844468963332474,0.038361672312021255,1,9566.798020601273,4.926098108291626
1272,0.9620199999999999,0.976,0.945,96.20199999999998,0.964,,4.499960000000007e-05,-6.511254787445068,1272,0.05,3.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.14029176533222198,-0.1123853325843811,-0.19080334901809692,-14.029176712036133,-0.13053792715072632,,0.00022023156634531915,0.03894945979118347,29,9574.37305021286,4.976195573806763
