,param_norm,unp_rank,grad_norm,n_reused,workertimes,walltimes,n_rejected,generations,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
11,52.134792,4,49.91375,0,27.45556354522705,798.5614287853241,0,11,121.20198059082031,242.3815155029297,0.050016094,-5.99082088470459,0.049898796,-5.995516777038574,0.050173596,-5.984532833099365,0.049999226,-5.991495609283447,2.1358419e-05,0.0009022667,0.05,0.05,0.0,220.0,121.2,2974.56,12120.0,160.0,,649,1000,933.27,10755.637100000002,93327,988,
12,55.14813,9,49.872368,0,27.558294534683228,865.2347297668457,0,12,130.59971618652344,261.293701171875,0.05001562,-5.990839958190918,0.049892813,-5.99575662612915,0.050182637,-5.984172344207764,0.04999921,-5.9914960861206055,2.2558013e-05,0.00094967266,0.05,0.05,0.0,220.0,130.6,2627.6399999999994,13060.0,160.0,,658,1000,939.76,9488.6024,93976,982,
13,58.21078,7,49.89505,0,28.04119300842285,932.1129035949707,0,13,151.20530700683594,302.3692626953125,0.05001519,-5.990857124328613,0.04988557,-5.996047019958496,0.05019105,-5.983837127685547,0.04999921,-5.9914960861206055,2.3743249e-05,0.0009969928,0.05,0.05,0.0,200.0,151.2,746.5600000000003,15120.0,160.0,,734,1000,964.2,3763.6,96420,979,
14,61.30846,8,49.9059,0,28.24441647529602,999.3604543209076,0,14,143.20669555664062,286.4640197753906,0.0500148,-5.990872383117676,0.049878422,-5.996333599090576,0.050198052,-5.983558177947998,0.04999921,-5.9914960861206055,2.4926327e-05,0.0010444816,0.05,0.05,0.0,220.0,143.2,1749.7599999999998,14320.0,160.0,,641,1000,960.13,5824.853099999999,96013,974,
15,64.42538,5,49.902946,0,28.705482721328735,1067.0732491016388,0,15,152.39564514160156,304.823486328125,0.050014433,-5.99088716506958,0.04987087,-5.996636390686035,0.05020467,-5.983294486999512,0.049999226,-5.991495609283447,2.6113603e-05,0.0010921938,0.05,0.05,0.0,200.0,152.4,646.2400000000002,15240.0,160.0,,721,1000,969.74,2813.2124000000003,96974,986,
16,67.54273,10,49.839497,0,28.803040027618408,1134.9731657505035,0,16,150.40972900390625,300.79571533203125,0.05001408,-5.990901470184326,0.049863894,-5.9969162940979,0.05020985,-5.98308801651001,0.049999237,-5.991495132446289,2.7306449e-05,0.0011402289,0.05,0.05,0.0,200.0,150.4,1203.84,15040.0,160.0,,744,1000,969.21,3787.3858999999998,96921,966,
17,70.65169,4,49.860733,0,29.25509238243103,1203.1949434280396,0,17,155.3999786376953,310.7624816894531,0.050013714,-5.9909162521362305,0.049858425,-5.997135639190674,0.050214868,-5.982888221740723,0.04999925,-5.991494655609131,2.8507357e-05,0.001188434,0.05,0.05,0.0,180.0,155.4,422.84000000000015,15540.0,160.0,,741,1000,972.57,1582.6251000000002,97257,982,
18,73.74349,7,49.878963,0,28.2573344707489,1270.3660974502563,0,18,154.59910583496094,309.2644348144531,0.050013367,-5.990930080413818,0.04985047,-5.997454643249512,0.050219886,-5.9826884269714355,0.049999293,-5.991492748260498,2.9712493e-05,0.0012366732,0.05,0.05,0.0,200.0,154.6,670.84,15460.0,160.0,,753,1000,973.6,1740.8399999999997,97360,996,
19,76.81204,6,49.866726,0,28.268020629882812,1338.417768239975,0,19,149.60011291503906,299.2693786621094,0.050013017,-5.990943908691406,0.049842697,-5.997766494750977,0.0502247,-5.982496738433838,0.04999932,-5.991491794586182,3.0918476e-05,0.0012849551,0.05,0.05,0.0,240.0,149.6,1331.84,14960.0,160.0,,607,1000,969.2,3156.9,96920,970,
20,79.85392,2,49.878716,0,28.265787839889526,1406.1594986915588,0,20,154.99679565429688,310.001708984375,0.050012656,-5.990958213806152,0.049836177,-5.99802827835083,0.050228976,-5.982326507568359,0.049999356,-5.991490364074707,3.2125514e-05,0.001333195,0.05,0.05,40.0,200.0,155.0,371.0,15500.0,160.0,,647,1000,969.18,2649.007600000001,96918,975,
21,82.859215,4,49.88884,0,28.458117723464966,1473.5079662799835,0,21,153.79640197753906,307.6404113769531,0.05001231,-5.99097204208374,0.04982951,-5.998295783996582,0.050232794,-5.982174396514893,0.04999939,-5.991488933563232,3.3331497e-05,0.0013812716,0.05,0.05,60.0,180.0,153.8,437.5600000000002,15380.0,160.0,,673,1000,964.88,3181.3855999999996,96488,990,
22,85.83007,6,49.881145,0,28.741102933883667,1541.4578635692596,0,22,157.80047607421875,315.6604919433594,0.050011978,-5.99098539352417,0.049822725,-5.998568058013916,0.050238904,-5.981931209564209,0.04999944,-5.9914870262146,3.4533383e-05,0.001429144,0.05,0.05,60.0,220.0,157.8,295.1600000000001,15780.0,160.0,,574,1000,969.95,2746.627500000001,96995,990,
23,88.75719,9,49.848576,0,28.829021692276,1609.310162305832,0,23,158.1964874267578,316.4228515625,0.050011642,-5.9909987449646,0.049815685,-5.9988508224487305,0.05024525,-5.981678485870361,0.04999947,-5.991485595703125,3.573016e-05,0.0014767421,0.05,0.05,0.0,220.0,158.2,472.76,15820.0,160.0,,646,1000,976.31,2019.2539000000002,97631,993,
24,91.6453,4,49.84993,0,29.35443377494812,1677.8200681209564,0,24,155.60284423828125,311.2479553222656,0.050011277,-5.991013526916504,0.049810242,-5.9990692138671875,0.050251205,-5.981441497802734,0.049999498,-5.991484642028809,3.6920082e-05,0.0015240258,0.05,0.05,0.0,220.0,155.6,628.6399999999999,15560.0,160.0,,695,1000,974.68,1836.7376000000004,97468,981,
25,94.48985,3,49.889126,0,29.18567419052124,1746.0613009929657,0,25,156.7974090576172,313.6470642089844,0.05001094,-5.991026878356934,0.04980624,-5.999229907989502,0.050256703,-5.981222629547119,0.049999535,-5.991483211517334,3.810214e-05,0.0015708711,0.05,0.05,20.0,180.0,156.8,293.7600000000002,15680.0,160.0,,583,1000,973.3,3007.2500000000005,97330,991,
26,97.28982,5,49.90344,0,29.484714031219482,1814.6034288406372,0,26,154.19873046875,308.3141174316406,0.050010584,-5.99104118347168,0.04980358,-5.9993367195129395,0.050262228,-5.9810028076171875,0.04999958,-5.991481304168701,3.9273225e-05,0.0016173008,0.05,0.05,0.0,180.0,154.2,698.3599999999999,15420.0,160.0,,732,1000,979.38,1533.0555999999997,97938,982,
