,unp_rank,grad_norm,workertimes,n_reused,n_rejected,param_norm,walltimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
35,17,0.24145971,3.2110562324523926,0,0,13.96059,123.2504894733429,35,0.0,0.0,0.05,-5.9914646,0.05,-2.737809419631958,-2.2708780765533447,-2.5215277671813965,0.008267691358923912,-252.15277099609375,-2.4259634,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
36,10,0.24159613,2.897789478302002,0,0,13.954278,126.31426429748535,36,0.0,0.0,0.05,-5.9914646,0.05,-2.7296700477600098,-2.2461507320404053,-2.502459764480591,0.008141735568642616,-250.24598693847656,-2.382969,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
37,11,0.24356085,3.2609941959381104,0,0,13.947886,129.74658918380737,37,0.0,0.0,0.05,-5.9914646,0.05,-2.744614362716675,-2.3241264820098877,-2.530745029449463,0.008660370483994484,-253.0745086669922,-2.3955886,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
38,5,0.24213552,3.3777127265930176,0,0,13.941452,133.30036044120789,38,0.0,0.0,0.05,-5.9914646,0.05,-2.7747080326080322,-2.3174357414245605,-2.5300562381744385,0.010319496504962444,-253.00563049316406,-2.3611734,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
39,13,0.24459392,3.207404613494873,0,0,13.934922,136.681702375412,39,0.0,0.0,0.05,-5.9914646,0.05,-2.808805227279663,-2.3131330013275146,-2.5078394412994385,0.010159616358578205,-250.783935546875,-2.3894622,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
40,4,0.2447618,3.1362171173095703,0,0,13.928459,139.98858833312988,40,0.0,0.0,0.05,-5.9914646,0.05,-2.695145606994629,-2.3088936805725098,-2.512258768081665,0.008183877915143967,-251.2258758544922,-2.3400621,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
41,11,0.2424171,3.292534351348877,0,0,13.921923,143.45378351211548,41,0.0,0.0,0.05,-5.9914646,0.05,-2.7969584465026855,-2.2270658016204834,-2.4991114139556885,0.010231724008917809,-249.9111328125,-2.3568377,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
42,8,0.24275872,3.2041444778442383,0,0,13.915635,146.83392763137817,42,0.0,0.0,0.05,-5.9914646,0.05,-2.7262799739837646,-2.2619528770446777,-2.485308885574341,0.009082362987101078,-248.53089904785156,-2.3468354,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
43,7,0.24428989,3.020075798034668,0,0,13.909407,150.03056740760803,43,0.0,0.0,0.05,-5.9914646,0.05,-2.7344958782196045,-2.2241005897521973,-2.486246109008789,0.01125163771212101,-248.62461853027344,-2.3240523,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
44,1,0.2425521,3.245999813079834,0,0,13.903195,153.45229148864746,44,0.0,0.0,0.05,-5.9914646,0.05,-2.7962870597839355,-2.3122479915618896,-2.4901742935180664,0.008742795325815678,-249.01742553710938,-2.3052692,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
