,grad_norm,n_rejected,unp_rank,param_norm,workertimes,generations,n_reused,walltimes,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
24,2.1290503,0,9,76.429184,29.017449140548706,24,0,852.1861579418182,0.0,0.0,0.05002658,-5.990401744842529,0.04999418,-5.991697311401367,0.050012838,-5.990951061248779,0.04999989,-5.991468906402588,1.4126126e-06,5.7188416e-05,1.0,1.0,0.0,200.0,155.8,802.36,15580.0,160.0,,453,1000,974.32,3230.7176,97432,981,
25,2.1294892,0,10,78.395454,28.839573621749878,25,0,887.3336532115936,0.0,0.0,0.05002658,-5.990401744842529,0.049994085,-5.991701126098633,0.050012957,-5.990946292877197,0.04999989,-5.991468906402588,1.4297038e-06,5.7828554e-05,1.0,1.0,0.0,220.0,151.6,1425.4400000000003,15160.0,160.0,,674,1000,977.28,2520.6216,97728,968,
26,2.131176,0,7,80.31296,28.49773621559143,26,0,922.12344622612,0.0,0.0,0.05002658,-5.990401744842529,0.049994003,-5.99170446395874,0.050013077,-5.990941524505615,0.04999989,-5.991468906402588,1.4457064e-06,5.8430298e-05,1.0,1.0,0.0,240.0,149.8,1243.9599999999998,14980.0,160.0,,636,1000,967.25,4321.8875,96725,991,
27,2.1285295,0,13,82.18166,28.304174423217773,27,0,956.4630632400513,0.0,0.0,0.05002658,-5.990401744842529,0.049993955,-5.991706371307373,0.050013185,-5.990937232971191,0.04999989,-5.991468906402588,1.4607501e-06,5.899686e-05,1.0,1.0,0.0,220.0,148.2,1744.76,14820.0,160.0,,418,1000,958.99,7997.7699,95899,981,
28,2.1285188,0,5,84.00073,27.482047080993652,28,0,990.0921375751495,0.0,0.0,0.05002659,-5.990401268005371,0.04999391,-5.991708278656006,0.05001328,-5.990933418273926,0.04999989,-5.991468906402588,1.4749126e-06,5.9532173e-05,1.0,1.0,0.0,200.0,136.4,2123.0399999999995,13640.0,160.0,,552,1000,954.88,7068.565600000001,95488,981,
29,2.1295319,0,7,85.77047,27.67497229576111,29,0,1023.893669128418,0.0,0.0,0.05002659,-5.990401268005371,0.049993847,-5.991710662841797,0.050013375,-5.99092960357666,0.04999989,-5.991468906402588,1.4882959e-06,6.003868e-05,1.0,1.0,0.0,260.0,141.4,2186.0399999999995,14140.0,160.0,,703,1000,955.92,5925.9736,95592,976,
30,2.1285946,0,6,87.49208,28.560158729553223,30,0,1058.5674781799316,0.0,0.0,0.05002659,-5.990401268005371,0.049993787,-5.991713047027588,0.05001347,-5.9909257888793945,0.04999989,-5.991468906402588,1.500959e-06,6.051959e-05,1.0,1.0,0.0,200.0,129.6,3331.84,12960.0,160.0,,688,1000,973.67,3138.2411000000006,97367,968,
31,2.129662,0,8,89.16626,28.764967441558838,31,0,1093.2815911769867,0.0,0.0,0.050026596,-5.990400791168213,0.049993727,-5.991715431213379,0.05001353,-5.9909234046936035,0.04999989,-5.991468906402588,1.5129829e-06,6.0976497e-05,1.0,1.0,0.0,220.0,142.0,2284.0,14200.0,160.0,,725,1000,967.19,4155.6739,96719,984,
32,2.1290984,0,5,90.795074,28.622602224349976,32,0,1128.0849437713623,0.0,0.0,0.0500266,-5.990400791168213,0.049993668,-5.99171781539917,0.05001358,-5.990921497344971,0.04999989,-5.991468906402588,1.5244053e-06,6.141207e-05,1.0,1.0,0.0,220.0,123.6,3387.04,12360.0,160.0,,543,1000,951.98,7395.6396,95198,973,
33,2.1286018,0,4,92.37652,28.565690994262695,33,0,1162.624008655548,0.0,0.0,0.050026603,-5.990400791168213,0.049993623,-5.991719722747803,0.050013624,-5.990919589996338,0.04999989,-5.991468906402588,1.5352955e-06,6.182764e-05,1.0,1.0,0.0,220.0,132.6,2669.2400000000007,13260.0,160.0,,400,1000,945.59,11418.281899999996,94559,994,
