,param_norm,walltimes,n_reused,unp_rank,n_rejected,grad_norm,workertimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
31,207.59471,1179.3042237758636,0,3,0,209.42583,27.76859140396118,31,152.5988006591797,152.59632873535156,0.011906297,-9.199797,0.05,0.05,20.0,240.0,152.6,2725.2400000000007,15260.0,220.0,,561,1000,933.36,13817.590400000005,93336,1000,
32,218.22821,1217.3530914783478,0,20,0,216.81895,28.542219877243042,32,166.9944610595703,166.989013671875,0.011254469,-9.199797,0.05,0.05,100.0,240.0,167.0,843.0,16700.0,180.0,,805,1000,982.45,2067.9275,98245,1000,
33,229.31541,1255.840750694275,0,44,0,234.44508,29.006615161895752,33,179.39593505859375,179.39366149902344,0.0106383925,-9.199797,0.05,0.05,20.0,280.0,179.4,1731.6399999999994,17940.0,180.0,,665,1000,980.81,3019.9138999999996,98081,1000,
34,240.94185,1292.311249256134,0,2,0,248.20259,26.638028621673584,34,174.0054473876953,174.00819396972656,0.010052858,-10.780243,0.05,0.05,20.0,300.0,174.0,2996.0,17400.0,280.0,,416,1000,920.25,16038.3275,92025,1000,
35,253.15427,1329.6360201835632,0,51,0,258.4731,27.920674324035645,35,171.405517578125,171.41018676757812,0.009642256,-10.780243,0.05,0.05,60.0,260.0,171.4,1418.0399999999995,17140.0,160.0,,595,1000,943.97,8676.549099999998,94397,1000,
36,265.9748,1365.4294707775116,0,64,0,267.8919,26.41381335258484,36,165.59730529785156,165.59109497070312,0.009307083,-10.780243,0.05,0.05,80.0,300.0,165.6,1880.6399999999996,16560.0,140.0,,608,1000,914.5,11988.33,91450,834,
37,279.4531,1402.7783031463623,0,15,0,281.77582,28.240580558776855,37,171.4018096923828,171.40213012695312,0.008849755,-10.780243,0.05,0.05,60.0,320.0,171.4,1770.0399999999995,17140.0,200.0,,588,1000,945.58,8961.283599999999,94558,1000,
38,293.60178,1436.3865168094635,0,79,0,298.451,24.256316900253296,38,117.19186401367188,117.18219757080078,0.008355333,-10.780243,0.05,0.05,20.0,260.0,117.2,3264.160000000001,11720.0,60.0,,474,1000,819.65,21447.667499999996,81965,609,
39,308.4735,1471.425618648529,0,38,0,318.24905,26.52505874633789,39,171.99644470214844,171.9955291748047,0.007841959,-10.780243,0.05,0.05,40.0,300.0,172.0,2296.0,17200.0,180.0,,564,1000,903.72,17635.881600000008,90372,889,
40,324.14755,1509.7114751338959,0,57,0,336.03534,29.16193175315857,40,178.791259765625,178.7812957763672,0.007413573,-10.780243,0.05,0.05,100.0,280.0,178.8,1494.56,17880.0,160.0,,648,1000,979.86,3255.3403999999996,97986,1000,
41,340.61618,1548.919445991516,0,67,0,332.97852,29.76959753036499,41,181.80072021484375,181.8015899658203,0.006869901,-10.780243,0.05,0.05,120.0,240.0,181.8,656.76,18180.0,160.0,,847,1000,996.78,401.3515999999999,99678,1000,
42,357.8158,1588.3804318904877,0,5,0,336.1565,30.088323831558228,42,181.5985565185547,181.59735107421875,0.006420096,-10.780243,0.05,0.05,100.0,240.0,181.6,757.4399999999998,18160.0,220.0,,862,1000,993.09,633.5818999999999,99309,1000,
43,375.87933,1626.276950597763,0,50,0,412.43942,28.555235862731934,43,172.0019989013672,172.0040740966797,0.0060480502,-10.780243,0.05,0.05,120.0,240.0,172.0,552.0,17200.0,160.0,,796,1000,974.37,2741.9531,97437,901,
44,395.0289,1664.4186353683472,0,3,0,440.50272,28.90483593940735,44,188.79779052734375,188.79562377929688,0.005666282,-10.780243,0.05,0.05,120.0,240.0,188.8,514.5600000000001,18880.0,220.0,,684,1000,974.35,3569.6675,97435,1000,
45,415.36487,1699.3736789226532,0,77,0,436.0677,25.623878240585327,45,150.40170288085938,150.40391540527344,0.0053515933,-10.780243,0.05,0.05,100.0,240.0,150.4,859.84,15040.0,120.0,,631,1000,860.72,12179.781600000002,86072,694,
