,grad_norm,n_reused,unp_rank,walltimes,generations,n_rejected,param_norm,workertimes,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
27,2.4950802,0,7,1892.6766939163208,27,0,93.528465,28.733951091766357,142.1995391845703,284.5144958496094,0.050026707,-5.990396499633789,0.049989797,-5.991872787475586,0.05001304,-5.99094295501709,0.049999975,-5.9914655685424805,2.041633e-06,8.396867e-05,1.0,1.0,0.0,220.0,142.2,2479.16,14220.0,160.0,,478,1000,970.52,5645.049600000002,97052,978,
28,2.4978325,0,5,1960.6642515659332,28,0,95.748146,28.559343099594116,144.7979278564453,289.6819763183594,0.050026715,-5.990396499633789,0.04998951,-5.991884231567383,0.05001328,-5.990933418273926,0.049999986,-5.991465091705322,2.099217e-06,8.624307e-05,1.0,1.0,0.0,200.0,144.8,1600.9600000000005,14480.0,160.0,,575,1000,966.92,4949.2936,96692,989,
29,2.4949212,0,10,2028.7164466381073,29,0,97.907326,28.18458080291748,136.3983917236328,272.86383056640625,0.05002672,-5.990396022796631,0.049989164,-5.991898059844971,0.05001346,-5.990926265716553,0.049999986,-5.991465091705322,2.1560784e-06,8.849076e-05,1.0,1.0,0.0,200.0,136.4,2699.04,13640.0,160.0,,646,1000,963.61,5587.017899999999,96361,990,
30,2.4974174,0,7,2095.7485389709473,30,0,100.00721,27.610832929611206,142.80148315429688,285.6878356933594,0.050026726,-5.990396022796631,0.04998889,-5.991909027099609,0.05001365,-5.9909186363220215,0.049999986,-5.991465091705322,2.2122715e-06,9.071058e-05,1.0,1.0,0.0,220.0,142.8,2312.16,14280.0,160.0,,537,1000,963.32,6951.737600000001,96332,994,
31,2.4963207,0,5,2163.64519071579,31,0,102.04576,28.404581785202026,146.99656677246094,293.99371337890625,0.050026737,-5.990395545959473,0.049988616,-5.991919994354248,0.05001395,-5.990906715393066,0.049999986,-5.991465091705322,2.2677668e-06,9.290143e-05,1.0,1.0,0.0,240.0,147.0,1379.0,14700.0,160.0,,649,1000,971.09,3052.1819,97109,984,
32,2.4961576,0,9,2231.21604347229,32,0,104.02592,28.121944904327393,142.00343322753906,284.1340637207031,0.050026756,-5.990394592285156,0.04998835,-5.9919304847717285,0.050014112,-5.990900039672852,0.049999986,-5.991465091705322,2.3225355e-06,9.506609e-05,1.0,1.0,0.0,220.0,142.0,2124.0,14200.0,160.0,,605,1000,963.8,5739.600000000001,96380,980,
33,2.497651,0,9,2297.596984386444,33,0,105.95331,26.95732092857361,139.20947265625,278.4960021972656,0.05002677,-5.990394115447998,0.04998807,-5.991941928863525,0.050014317,-5.990891933441162,0.049999986,-5.991465091705322,2.3766565e-06,9.720128e-05,1.0,1.0,0.0,200.0,139.2,2183.36,13920.0,160.0,,586,1000,959.52,7750.629599999999,95952,986,
34,2.4982092,0,6,2365.314228773117,34,0,107.825386,28.24229145050049,144.00624084472656,288.0650329589844,0.05002679,-5.990393161773682,0.049987674,-5.991957664489746,0.050014447,-5.990886688232422,0.049999986,-5.991465091705322,2.4300327e-06,9.930835e-05,1.0,1.0,0.0,220.0,144.0,2096.0,14400.0,160.0,,552,1000,965.56,5729.1264,96556,986,
35,2.4955683,0,8,2433.3028893470764,35,0,109.6465,28.374661684036255,130.59719848632812,261.29345703125,0.050026797,-5.990393161773682,0.049987197,-5.991976737976074,0.050014578,-5.990881443023682,0.049999986,-5.991465091705322,2.482711e-06,0.00010138741,1.0,1.0,0.0,220.0,130.6,2867.639999999999,13060.0,160.0,,554,1000,963.28,5063.4416,96328,988,
36,2.4976327,0,13,2502.6339926719666,36,0,111.413246,29.063184022903442,138.5972900390625,277.310791015625,0.05002682,-5.990392208099365,0.04998678,-5.991993427276611,0.05001463,-5.990879535675049,0.049999986,-5.991465091705322,2.5346867e-06,0.00010343624,1.0,1.0,0.0,220.0,138.6,2514.0399999999995,13860.0,160.0,,635,1000,961.31,4882.9139000000005,96131,988,
37,2.4950795,0,11,2570.8513486385345,37,0,113.13172,28.75860285758972,142.3936309814453,284.77392578125,0.050026834,-5.990391731262207,0.04998645,-5.992006778717041,0.05001471,-5.990876197814941,0.05,-5.991464614868164,2.5859072e-06,0.00010545872,1.0,1.0,0.0,240.0,142.4,1986.2400000000002,14240.0,160.0,,651,1000,962.2,5303.579999999999,96220,990,
38,2.4975736,0,16,2638.4609122276306,38,0,114.80196,27.91735601425171,148.3950653076172,296.8934631347656,0.05002684,-5.990391254425049,0.049986053,-5.992022514343262,0.05001483,-5.990871429443359,0.05,-5.991464614868164,2.6364685e-06,0.00010745368,1.0,1.0,0.0,200.0,148.4,1721.44,14840.0,160.0,,448,1000,950.97,9783.2891,95097,979,
39,2.4969597,0,8,2706.4956879615784,39,0,116.42237,28.47050189971924,139.79698181152344,279.5740966796875,0.050026853,-5.990390777587891,0.04998572,-5.992035865783691,0.05001501,-5.990864276885986,0.05,-5.991464614868164,2.686342e-06,0.00010942157,1.0,1.0,0.0,220.0,139.8,2571.9600000000005,13980.0,160.0,,427,1000,963.26,7596.952399999998,96326,983,
40,2.495652,0,8,2775.0729167461395,40,0,117.99756,28.52862524986267,142.80258178710938,285.5732727050781,0.050026856,-5.990390777587891,0.04998536,-5.9920501708984375,0.050015163,-5.99085807800293,0.05,-5.991464614868164,2.73554e-06,0.0001113617,1.0,1.0,0.0,220.0,142.8,1776.16,14280.0,160.0,,655,1000,958.6,4924.86,95860,973,
41,2.4956338,0,9,2842.815399646759,41,0,119.52609,28.026516437530518,143.39442443847656,286.8351135253906,0.05002686,-5.990390300750732,0.04998492,-5.992067813873291,0.050015293,-5.9908528327941895,0.05,-5.991464614868164,2.784044e-06,0.00011327406,1.0,1.0,0.0,260.0,143.4,2312.4399999999996,14340.0,160.0,,577,1000,959.81,6535.5338999999985,95981,973,
42,2.496071,0,10,2909.9132721424103,42,0,121.00854,27.49367928504944,139.80215454101562,279.6050720214844,0.05002687,-5.990389823913574,0.04998454,-5.9920830726623535,0.05001546,-5.990846157073975,0.05,-5.991464614868164,2.8318532e-06,0.00011516275,1.0,1.0,0.0,220.0,139.8,2211.9600000000005,13980.0,160.0,,554,1000,950.2,9734.4,95020,985,
43,2.4965367,0,15,2976.632527589798,43,0,122.44713,27.16946053504944,140.78538513183594,281.68841552734375,0.050026875,-5.990389823913574,0.049984217,-5.992095947265625,0.050015595,-5.990840911865234,0.05,-5.991464614868164,2.8790687e-06,0.000117027485,1.0,1.0,0.0,220.0,140.8,2367.360000000001,14080.0,160.0,,566,1000,948.0,8469.12,94800,979,
44,2.4994357,0,10,3044.355442047119,44,0,123.846756,28.01124906539917,140.7991485595703,281.7452392578125,0.050026886,-5.990389347076416,0.049983896,-5.9921088218688965,0.050015714,-5.990836143493652,0.05,-5.991464614868164,2.9256869e-06,0.00011886722,1.0,1.0,0.0,220.0,140.8,2127.36,14080.0,160.0,,438,1000,944.97,10813.2691,94497,979,
45,2.496107,0,9,3113.5594370365143,45,0,125.20708,28.336429119110107,139.79661560058594,279.6136779785156,0.050026894,-5.990388870239258,0.04998367,-5.992117881774902,0.050016083,-5.990821361541748,0.05,-5.991464614868164,2.9716805e-06,0.00012068397,1.0,1.0,0.0,180.0,139.8,1979.9600000000005,13980.0,160.0,,514,1000,952.46,8716.8284,95246,979,
